haussmann,ascenseur,orientation_sud,WC_separes,salon,cuisine,metro_proche,refait_recemment,mezzanine,calme,digicode,videophone,chauffage_electrique,chauffage_individuel,ecoles_proches,commerces_proches,sur_cour,vue_toits,porte_blindee,poutres_apparentes,parquet,baignoire,cuisine_moderne,cuisine_americaine,cuisine_equipee,sans_vis_a_vis,balcon,cinemas_proches,cheminee,prevoir_travaux,parking,cave,rangements,immeuble_pierre,gardien,dressing,lumineux,moulures,double_vitrage,ravalements_recents,buanderie,chauffage_gaz,parking_public_proche,debarras,jardin,maison,appartement,entree,plan_etoile,traversant,terrasse,piscine,terrains_sport_proches,meuble,etat_general,etat_copropriete,studio,surface,coordonnee_x,coordonnee_y,arrondissement,etage,nombre_etages,nombre_pieces,nombre_salles_de_bains,nombre_WC,nombre_chambres,date_refection,charges,nombre_fenetres,surface_balcon,date_construction,hauteur_plafond,taxe_fonciere,date_ravalement,honoraires,terrasse_surface,piscine_taille,classification_energie,prix
,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,1,,,1,23,23404,488725,9,3,,1,,,,,,,,,,,,,,,,200000
,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,28,23404,488725,9,,,2,,,1,,,,,,,,,,,,,362000
,,,,,1,,,,1,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,1,,,,66,23404,488725,9,,,3,,,2,,,,,,,,,,,,,584000
,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,86,23879,488410,12,,,3,,,2,,,,,,,,,,,,,949000
,1,,,,1,,,,,1,,,,,,,,,,1,,,,1,,,,,,,1,,,1,,,,,,,,,,,,1,1,,1,1,,,,1,,,58,22568,488378,16,,,2,,,1,,,,,,,,,,,,,399000
1,1,,,,1,,,,,,,,,,,,,,,1,,1,,,,,,1,,1,1,,,,,,1,,,,,,,,,1,1,,,,,,1,,,,127,23327,488506,6,,,5,,,3,,,,,,,,,,,,,1750000
,1,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,1,1,,,1,,,,,,,,,,,,1,1,,,1,,,,,,,60,23327,488506,6,,,2,,,1,,,,,,,,,,,,,1256000
,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,1,,1,1,,,,,,,,,1,28,23200,488903,17,,,1,,,,,,,,,,,,,,,,255000
,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,1,,,,44,23327,488506,6,,,2,,,1,,,,,,,,,,,,,525000
,1,,,,1,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,,48,23221,488844,17,4,,2,,,1,,,3,,,,,2015,,,,,431000
,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,,,,1,,,,,,,123,23221,488844,17,,,4,,,3,,,,,,4,,,,,,,1250000
,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,1,15,23221,488844,17,,,1,,,,,,,,,,,,,,,,128000
,,,,,1,,,,1,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,1,,,,61,23327,488506,6,,,3,,,2,,,,,,,,,,,,,795000
,1,,,,1,,,,1,,,,,,,,,,,,,,,1,,,,,,,1,,,,,1,,,,,,,,,,1,,,1,,,,1,,,,37,23327,488506,6,,,2,,,1,,,,,,,,,,,,,590000
,,1,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,23,23327,488506,6,,,2,,,1,,,,,,,,,,,,,400000
,,,,1,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,1,1,,,,1,,,,1,,1,1,,1,,,,,,,,155,23327,488506,6,1,,5,,,3,,,,,,,,,,,,,2500000
,,,,,1,,,,1,,,,,,,1,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,1,,,,110,23327,488506,6,,,5,,,3,,,,,,,,,,,,,1249000
