requete,formattage,lat,lng
"place+du+Dix-Huit+Juin+1940,Paris,France","Paris, France",48.856614,2.3522219
"avenue+Emile+Acollas,Paris,France","Avenue Emile Acollas, 75007 Paris, France",48.8521989,2.3005672
"rue+Augereau,Paris,France","Rue Augereau, 75007 Paris, France",48.8573063,2.3020421
"rue+du+General+Bertrand,Paris,France","Rue du General Bertrand, Paris, France",48.8477003,2.3133533
"rue+Bixio,Paris,France","Rue Bixio, 75007 Paris, France",48.8533309,2.3098866
"rue+Bosquet,Paris,France","Rue Bosquet, 75007 Paris, France",48.855951,2.3059358
"rue+Savorgnan+de+Brazza,Paris,France","Rue Savorgnan de Brazza, 75007 Paris, France",48.85493779999999,2.303117
"rue+Aristide+Briand,Paris,France","Rue Aristide Briand, 75007 Paris, France",48.8615956,2.3193234
"rue+du+Gros+Caillou,Paris,France","Rue du Gros Caillou, 75007 Paris, France",48.8571711,2.3027427
"rue+de+Chanaleilles,Paris,France","Rue de Chanaleilles, 75007 Paris, France",48.85314959999999,2.3183565
"rue+de+Commaille,Paris,France","Rue de Commaille, 75007 Paris, France",48.85271789999999,2.3246045
"cite+Ferembach,Paris,France","Cite Ferembach, 75017 Paris, France",48.8780995,2.2894943
"rue+Jacquemont,Paris,France","Rue Jacquemont, 75017 Paris, France",48.8879154,2.322736
"rue+Jadin,Paris,France","Rue Jadin, 75017 Paris, France",48.8815541,2.3052535
"rue+de+La+Jonquiere,Paris,France","Rue de La Jonquiere, 75017 Paris, France",48.8938583,2.3217698
"cite+Joyeux,Paris,France","Cite Joyeux, 75017 Paris, France",48.8968169,2.3235085
"rue+Lacroix,Paris,France","Rue Lacroix, 75017 Paris, France",48.8905852,2.322777
"rue+Lantiez,Paris,France","Rue Lantiez, 75017 Paris, France",48.89557730000001,2.3243056
"rue+Lebon,Paris,France","Rue Lebon, 75017 Paris, France",48.8810741,2.2919533
"rue+Lecluse,Paris,France","Rue Lecluse, 75017 Paris, France",48.8841288,2.3254077
"rue+Legendre,Paris,France","Rue Legendre, 75017 Paris, France",48.8873128,2.3196277
"cite+Lemercier,Paris,France","Cite Lemercier, 75017 Paris, France",48.8868701,2.3243955
"rue+Meissonier,Paris,France","Rue Meissonier, 75017 Paris, France",48.8823058,2.3042946
"place+Stuart+Merrill,Paris,France","Place Stuart Merrill, 75017 Paris, France",48.8858355,2.2923127
"place+du+Nicaragua,Paris,France","Ambassade du Nicaragua, 34 Avenue Bugeaud, 75116 Paris, France",48.87078409999999,2.2807068
"avenue+Niel,Paris,France","Avenue Niel, 75017 Paris, France",48.8815682,2.2957053
"rue+Jean+Oestreicher,Paris,France","Rue Jean Oestreicher, 75017 Paris, France",48.8867091,2.2889695
