Nom du lieu,Coordonne_x_millièmes,Coordonne_y_millièmes,Désignation
Ardt 1,23421,488599,
Ardt 2,23405,488669,
Ardt 3,23615,488640,
Ardt 4,23557,488562,
Ardt 5,23446,488462,
Ardt 6,23327,488506,
Ardt 7,23199,488569,
Ardt 8,23178,488778,
Ardt 9,23404,488725,
Ardt 10,23574,488719,
Ardt 11,23796,488585,
Ardt 12,23879,488410,
Ardt 13,23555,488323,
Ardt 14,23268,488329,
Ardt 15,23002,488413,
Ardt 16,22761,488628,
Ardt 17,23221,488844,
Ardt 18,23445,488923,
Ardt 19,23820,488828,
Ardt 20,23990,488651,
Abbesses,23387,488844,Abbesses
Alésia,23267,488283,Alésia
Alexandre Dumas,23949,488561,Alexandre Dumas
Alma-Marceau,23008,488646,Alma-Marceau
Anatole-France,22853,488924,Anatole France
Antony,23013,487547,Antony
Anvers,23439,488831,Anvers
Argentine,22893,488755,Argentine
Arts et Métiers,23563,488652,Arts et Métiers
Asnieres-Gennevilliers Les Courtilles,22840,489301,Les Courtilles
Assemblée Nationale,23206,488608,Assemblée Nationale
Aubervilliers Pantin (4 Chemins),23920,489038,Aubervilliers - Pantin - Quatre Chemins
Avenue Emile Zola,22949,488469,Avenue Émile Zola
Avron,23979,488509,Avron
Balard,22782,488362,Balard
Barbès - Rochechouart,23497,488836,Barbès - Rochechouart
Basilique de Saint-Denis,23594,489366,Basilique de Saint-Denis
Bastille,23691,488528,Bastille
Bel-Air,24012,488418,Bel-Air
Belleville,23768,488720,Belleville
Bérault,24292,488453,Bérault
Bercy,23795,488404,Bercy
Bibliotheque Francois Mitterrand,23760,488296,Bibliothèque François Mitterrand
Billancourt,22381,488319,Billancourt
Bir-Hakeim (Tour Eiffel),22887,488543,Bir-Hakeim
Blanche,23316,488836,Blanche
Bobigny-Pablo-Picasso,24496,489069,Bobigny – Pablo Picasso
Bobigny-Pantin (Raymond Queneau),24248,488952,Bobigny – Pantin – Raymond Queneau
Boissière,22904,488670,Boissière
Bolivar,23739,488805,Bolivar
Bonne Nouvelle,23486,488705,Bonne Nouvelle
Botzaris,23887,488793,Botzaris
Boucicaut,22876,488412,Boucicaut
Boulogne Pont de Saint-Cloud,22282,488407,Boulogne - Pont de Saint-Cloud
Boulogne-Jean-Jaurès,22388,488422,Boulogne - Jean Jaurès
Bourse,23412,488687,Bourse
Bréguet - Sabin,23709,488565,Bréguet-Sabin
Brochant,23200,488903,Brochant
Buttes Chaumont,23811,488777,Buttes Chaumont
Buzenval,24010,488517,Buzenval
Cadet,23430,488754,Cadet
Cambronne,23018,488474,Cambronne
Campo-Formio,23581,488357,Campo-Formio
Cardinal Lemoine,23514,488463,Cardinal Lemoine
Carrefour-Pleyel,23432,489194,Carrefour Pleyel
Censier - Daubenton,23514,488405,Censier – Daubenton
Champs-Elysées-Clémenceau,23139,488674,Champs-Elysées - Clémenceau
Chardon-Lagache,22665,488447,Chardon Lagache
Charenton-Ecoles,24140,488213,Charenton – Écoles
Charles de Gaulle - Etoile,22957,488744,Charles de Gaulle – Étoile (metro)
Charles Michels,22863,488463,Charles Michels
Charonne,23852,488547,Charonne
Château d'Eau,23554,488725,Château d'Eau
Château de Vincennes,24395,488445,Château de Vincennes
Château Landon,23622,488783,Château Landon
Château Rouge,23498,488871,Château Rouge
Châtelet - Les Halles,23471,488585,Châtelet
Châtillon Montrouge,23012,488103,Châtillon - Montrouge
Chaussée d'Antin (La Fayette),23335,488728,Chaussée d'Antin - La Fayette
Chemin Vert,23679,488575,Chemin Vert
Chevaleret,23671,488344,Chevaleret
Cité,23467,488553,Cité
Cluny - La Sorbonne,23452,488510,Cluny - La Sorbonne
Colonel Fabien,23701,488779,Colonel Fabien
Commerce,22933,488448,Commerce
