rue;x;y
Allee Alexandre Vialatte;23570;488218
Allee Alquier-Debrousse;24076;488612
Allee Andre Breton;23459;488630
Allee Anne de Beaujeu;23731;488789
Allee Arthur Honegger;23946;488881
Allee Blaise Cendrars;23442;488622
Allee Celestin Hennion;23477;488553
Allee d'Andrezieux;23530;488924
Allee Darius Milhaud;23888;488842
Allee de Bercy;23765;488421
Allee de Fontainebleau;23915;488858
Allee de l'Esperance;22386;488562
Allee de la Bertelotte;22748;488296
Allee de la Comtesse de Segur;23090;488794
Allee de la Garance;23896;488888
Allee de la Reine Marguerite;22470;488618
Allee de Longchamp;22578;488701
Allee de Madrid A Neuilly;22571;488766
Allee des 4 Carrefours;24361;488265
Allee des Bouleaux;22622;488727
Allee des Brouillards;23377;488886
Allee des Buttes;24274;488256
Allee des Cygnes;22844;488533
Allee des Dames;22629;488605
Allee des Eiders;23787;488938
Allee des Erables;22689;488785
Allee des Fortifications;22618;488557
Allee des Freres Voisin;22726;488283
Allee des Hortensias;23144;488276
Allee des Justes de France;23557;488552
Allee des Lapins;24259;488331
Allee des Mauves;24081;488570
Allee des Orgues de Flandre;23744;488896
Allee des Poteaux;22708;488721
Allee des Vergers;23961;488337
Allee Diane de Poitiers;23784;488736
Allee du Brindeau;23757;488850
Allee du Capitaine Dronne;23180;488401
Allee du Chateau Ouvrier;23189;488340
Allee du Commandant Raynal;22786;488423
Allee du General Denain;22940;488521
Allee du General Koenig;22841;488818
Allee du Pere Julien Dhuit;23864;488725
Allee du Philosophe;23845;488557
Allee du Professeur Jean Bernard;23624;488755
Allee du Reverend Pere Michel Riquet;23337;488509
Allee Federico Garcia Lorca;23459;488623
Allee Fortunee;22735;488740
Allee Gabrielle d'Estrees;23789;488735
Allee Gaston Bachelard;23146;488261
Allee Georges Recipon;23723;488797
Allee Georges Rouault;23837;488695
Allee Jean Sablon;22685;488576
Allee Jules Supervielle;23445;488621
Allee Louis Aragon;23433;488628
Allee Louise Labe;23779;488753
Allee Maintenon;23213;488459
Allee Marc Chagall;23605;488198
Allee Marcel Jambenoire;23471;488204
Allee Marcel Proust;23174;488674
Allee Marguerite Yourcenar;22942;488526
Allee Maria Callas;22821;488636
Allee Marius Barroux;24057;488782
Allee Maurice Baumont;22965;488580
Allee Pernette du Guillet;23768;488750
Allee Pierre Lazareff;23487;488669
Allee Pierre Mollaret;23731;488992
Allee Rodenbach;23379;488338
Allee Royale;24331;488314
Allee Thomy-Thierry;22975;488547
Allee Valentin Abeille;23624;489016
Allee Verhaeren;23377;488335
Allee Verte;23705;488594
Allee Vivaldi;23907;488416
Avenue Adrien Hebrard;22698;488536
Avenue Albert 1er de Monaco;22899;488616
Avenue Albert Bartholome;22966;488284
Avenue Albert de Mun;22918;488629
Avenue Alphand;22852;488750
Avenue Alphonse XIII;22812;488564
Avenue Ambroise Rendu;23958;488849
Avenue Anatole France;22974;488563
Avenue Armand Rousseau;24090;488360
Avenue Barbey d'Aurevilly;23000;488568
Avenue Beaucour;23029;488775
Avenue Benoit Frachon;24154;488533
Avenue Bosquet;23035;488583
Avenue Boudon;22699;488497
Avenue Boutroux;23749;488221
Avenue Brunetiere;23001;488899
Avenue Bugeaud;22806;488707
Avenue Carnot;22933;488756
Avenue Cartellier;24135;488638
Avenue Cesar Caire;23194;488761
Avenue Chantemesse;22710;488671
Avenue Charles de Foucauld;24043;488329
Avenue Charles Floquet;22967;488546
Avenue Charles Girault;23145;488667
Avenue Charles Risler;23003;488547
Avenue Claude Vellefaux;23703;488746
Avenue Constant Coquelin;23167;488481
Avenue Corentin Cariou;23844;488966
Avenue Courteline;24130;488439
Avenue d'Eylau;22844;488646
Avenue d'Italie;23575;488251
Avenue d'Ivry;23648;488237
Avenue Daumesnil;24008;488376
Avenue David Weill;23337;488200
Avenue de Bel air;24215;488431
Avenue de Boufflers;22634;488500
Avenue de Bouvines;23962;488497
Avenue de Breteuil;23115;488495
Avenue de Camoens;22862;488596
Avenue de Choisy;23604;488255
Avenue de Clichy;23205;488904
Avenue de Corbera;23824;488459
Avenue de Fontenay;24616;488406
Avenue de Friedland;23010;488743
Avenue de Gravelle;24298;488234
Avenue de Joinville;24669;488293
Avenue de l'Ecole de Joinville;24619;488223
Avenue de l'Ermitage;22662;488436
Avenue de l'Hippodrome;22549;488582
Avenue de l'Hippodrome;22451;488584
Avenue de l'Observatoire;23368;488400
Avenue de l'Opera;23340;488665
Avenue de la Belle Gabrielle;24680;488332
Avenue de la Bourdonnais;23002;488575
Avenue de la Conservation;23894;488596
Avenue de la Frilliere;22605;488409
Avenue de la Grande Armee;22888;488758
Avenue de la Motte-Picquet;23086;488563
Avenue de la Pepiniere;24502;488431
Avenue de la Porte Brancion;23006;488268
Avenue de la Porte Brunet;23968;488836
Avenue de la Porte Chaumont;23967;488861
Avenue de la Porte d'Aubervilliers;23702;488998
Avenue de la Porte d'Auteuil;22506;488479
Avenue de la Porte d'Italie;23600;488174
Avenue de la Porte d'Ivry;23708;488207
Avenue de la Porte de Bagnolet;24106;488648
Avenue de la Porte de Choisy;23658;488185
Avenue de la Porte de Clignancourt;23444;488995
Avenue de la Porte de la Chapelle;23596;489006
Avenue de la Porte de Menilmontant;24095;488706
Avenue de la Porte de Montmartre;23360;488995
Avenue de la Porte de Montreuil;24116;488536
Avenue de la Porte de Montrouge;23223;488221
Avenue de la Porte de Saint-Cloud;22546;488386
Avenue de la Porte de Sevres;22771;488341
Avenue de la Porte de Sevres;22772;488343
Avenue de la Porte de Villiers;22858;488844
Avenue de la Porte de Vincennes;24136;488468
Avenue de la Porte des Lilas;24097;488780
Avenue de la Porte des Poissonniers;23522;488998
Avenue de la Porte des Ternes;22823;488813
Avenue de la Porte Didot;23104;488259
Avenue de la Porte du Pre Saint-Gervais;24015;488806
Avenue de la Republique;23767;488648
Avenue de la Sibelle;23382;488256
Avenue de Lamballe;22814;488544
Avenue de Laumiere;23804;488839
Avenue de Lowendal;23058;488508
Avenue de Marigny;23153;488698
Avenue de Montespan;22776;488654
Avenue de Neuilly;22801;488784
Avenue de New York;22939;488624
Avenue de Nogent;24537;488406
Avenue de Peterhof;22882;488821
Avenue de Pologne;22726;488689
Avenue de Provence;23343;488746
Avenue de Rouvray;22644;488460
Avenue de Saint-Mande;24028;488449
Avenue de Saint-Ouen;23271;488923
Avenue de Salonique;22839;488822
Avenue de Saxe;23103;488479
Avenue de Segur;23084;488501
Avenue de Selves;23120;488677
Avenue de Suffren;23002;488515
Avenue de Taillebourg;23976;488495
Avenue de Tourville;23103;488539
Avenue de Valois;23124;488803
Avenue de Valois;23130;488804
Avenue de Versailles;22703;488440
Avenue de Verzy;22874;488812
Avenue de Villiers;23036;488840
Avenue de Wagram;23001;488807
Avenue Debidour;23970;488814
Avenue Delecourt;22921;488457
Avenue Denfert-Rochereau;23345;488365
Avenue des Canadiens;24571;488171
Avenue des Chasseurs;23060;488871
Avenue des Gobelins;23527;488355
Avenue des Minimes;24399;488402
