Nom de la feature,Description,Type yes/no,Ligne de la feature opposée,Mots à chercher 1,Mots à chercher 2,Mots à chercher 3,Mots à chercher 4,Mots à chercher 5,Mots à chercher 6
haussmann,Immeuble Haussmannien,x,,haussman(n|)ien,,,,,
ascenseur,Ascenseur,x,,ascenseur,,,,,
sans_ascenseur,Sans ascenseur,x,3,sans ascenseur,pas d'ascenseur,pas dascenseur,,,
orientation_sud,Orientation,x,,orient(ation|e) sud,expos(ition|e)( plein|) sud,,,,
wc_separes,WC séparés,x,,(wc|toilette|toilettes) separe,,,,,
salon,Salon,x,,salon,,,,,
cuisine,Cuisine,x,,cuisine,,,,,
metro_proche,Station de métro à proximité,x,,metro a proximite,metro proche,metro a côte,,,
refait_recemment,Refait récemment,x,,refait recemment,travaux recents,refection recente,,,
mezzanine,Mezzanine,x,,mezzanine,,,,,
calme,Calme,x,,calme,,,,,
digicode,Digicode,x,,digicode,,,,,
videophone,Vidéophone,x,,videophone,,,,,
chauffage_electrique,Chauffage électrique,x,,chauffage electrique,,,,,
chauffage_individuel,Chauffage individualisé,x,,chauffage individualise,chauffage individuel,,,,
chauffage_collectif,Chauffage collectif,x,,chauffage (est |)collectif,,,,,
chauffage_sol,Chauffage au sol,x,,chauffage au sol,,,,,
ecoles_proches,Ecoles à proximité,x,,ecole proche,ecole a proximite,ecoles proches,ecoles a proximite,,
commerces_proches,Commerces à proximité,x,,commerces proches,commerces a proximite,supermarche a proximite,proche (tous|des|) commerce,,
sur_cour,Sur cour,x,,sur cour,,,,,
vue_toits,Vue sur les toits,x,,vue sur les toits,vue toits,,,,
porte_blindee,Porte blindée,x,,porte blindee,,,,,
poutres_apparentes,Poutres apparentes,x,,poutres,,,,,
parquet,Parquet,x,,parquet,,,,,
baignoire,Baignoire,x,,baignoire,,,,,
cuisine_moderne,Cuisine moderne,x,,cuisine moderne,,,,,
cuisine_americaine,Cuisine à l'américaine,x,,cuisine a l'americaine,cuisine americaine,cuisine ouverte,,,
cuisine_equipee,Cuisine équipée,x,,cuisine equipe,cuisine ouverte equipe,,,,
sans_vis_a_vis,Sans vis-à-vis,x,,sans vis-a-vis,pas de vis-a-vis,,,,
balcon,Balcon,x,,balcon,,,,,
cinemas_proches,Proximité de cinémas,x,,cinemas proches,cinemas a proximite,cinema proche,,,
