haussmann,ascenseur,orientation_sud,WC_separes,salon,cuisine,metro_proche,refait_recemment,mezzanine,calme,digicode,videophone,chauffage_electrique,chauffage_individuel,ecoles_proches,commerces_proches,sur_cour,vue_toits,porte_blindee,poutres_apparentes,parquet,baignoire,cuisine_moderne,cuisine_americaine,cuisine_equipee,sans_vis_a_vis,balcon,cinemas_proches,cheminee,prevoir_travaux,parking,cave,rangements,immeuble_pierre,gardien,dressing,lumineux,moulures,double_vitrage,ravalements_recents,buanderie,chauffage_gaz,parking_public_proche,debarras,jardin,maison,appartement,entree,plan_etoile,traversant,terrasse,piscine,terrains_sport_proches,meuble,etat_general,etat_copropriete,studio,surface,coordonnee_x,coordonne_y,arrondissement,etage,nombre_etages,nombre_pieces,nombre_salles_de_bains,nombre_WC,nombre_chambres,date_refection,charges,nombre_fenetres,surface_balcon,date_construction,hauteur_plafond,taxe_fonciere,date_ravalement,honoraires,terrasse_surface,piscine_taille,classification_energie,prix
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,1,20,,,,,,1,,,,,,,,,,,,,,,,189000
,,,,,1,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,17,,,,,,1,,,,,,,,,,,,,,,,229000
,1,,1,1,1,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,1,1,,,,,,,,,,112,,,,,,5,,,,,,,,,,,,,,,,930000
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38,,,,,,2,,,,,,,,,,,,,,,,358000
,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,1,,1,1,,,,,1,,,,,,,,,,1,,,1,,,,,,,,72,,,,,,4,,,2,,,,,,,,,,,,,619000
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,296,,,,,,9,,,,,,,,,,,,,,,,2700000
,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,1,,,58,,,,,,2,,,,,,,,,,,,,,,,399000
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,1,24,,,,5,,1,,,,,,,,,,,,,,,,215000
,,,,,1,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71,,,,,,2,,,,,,,,,,,,,,,,634000
,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,1,71,,,9,,,1,,,,,,,,,,,,,,,,560000
,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,1,,,,1,,,,,,,1,,,,,,1,,,,82,,,,5,,4,,,2,,,,,,,,,,,,,998000
,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,1,,,,,,,,,,,45,,,,,,2,,,,,,,,,,,,,,,,320000
,,,,,1,,,,,,,,,,,1,,,,,,,,,,1,,,,1,1,,,,,,,,,,,,,,,1,,,,1,,,1,,,,36,,,,,,5,,2,3,,,,,,,,,,,,,1020000
,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,1,,,,,,,,,,,,1,,,,,,1,,,,106,,,,,,4,,,2,,,,,,,,,,,,,787000
,,,,1,1,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,1,,1,,,,1,,,,29,,,,,,2,,,,,,,,,,,,,,,,255000
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,1,,,1,22,,,,,,1,,,,,,,,,,,,,,,,170000
,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,,,,,,2,,,,,,,,,,,,,,,,170000
,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,1,1,,,,,,,,,,94,,,,,,4,,,3,,,,,,,,,,,,,819000
,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,27,,,,,,2,,,,,,,,,,,,,,,,299000
,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,25,,,,,,1,,,,,,,,,,,,,,,,277000
,1,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,15,,,,,,2,,,,,,,,,,,,,,,,129000
,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,1,,,,,,,,,1,,1,,,,,,,,,,,74,,,,,,2,,,,,,,,,,,,,,,,1420000
,1,,,,1,,,,1,,,,,,,,,,,,,,,1,,,,1,,1,,,1,,,,,,,,,,,,,1,,,1,,,,1,,,,70,,,,3,,3,1,,,,,,,,,,,,,,,795000
,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,1,,,,,,1,,,,10,,,,,,2,,,,,,,,,,,,,,,,345000
,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,185,,,9,1,,7,,,2,,,,,,,,,,,,,936000
,1,,1,,,,,,1,,,,,,,1,,,,1,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,60,,,,3,,3,,,,,,,,,,,,,,,,780000
1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,1,,,,115,,,,,,4,,,3,,,,,,,,,,,,,1095000
,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,1,,,,,,,,,,,,1,1,,1,,,,1,1,,,143,,,,2,,5,,,3,,,,,,,,,,,,,1230000
,1,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,1,,,,60,,,,5,,3,,,2,,,,,,,,,,,,,495000
,1,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,1,1,,1,,1,,,,,,,,1,,1,1,,,,,,1,,,,161,,,,3,,5,,,3,,,,,,,,,,,,,1495000
,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,95000
,1,,,,1,,,,1,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,1,1,,1,,,,1,,,,47,,,,2,,3,,,2,,,,,,,,,,,,,399000
,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,1,,1,,,,,,,,40,,,,,,2,,,,,,,,,,,,,,,,340000
,,,,,1,,,,,,,,,,,,,,,,,,,1,,1,,,,,1,,,,1,,,,,,,,,,,,,,,,1,,1,,,,70,,,,8,,2,,,,,,,,,,,,,,,,720000
,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,1,,,1,,,,,,1,,,1,25,,,,4,,1,,,,,,,,,,,,,,,,272000
,1,,,,1,,,,1,,,,,,,1,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,1,1,,,1,,,1,,,,7,,,,6,,2,,,,,,,,,,,,,,,,544000
,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,,73,,,,,,3,,,,,,,,,,,,,,,,660000
,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,1,,,,,,,105,,,,,,5,,,2,,,,,,,,,,,,,1133000
,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,1,,,1,,,,1,,,,38,,,,3,,2,,,,,,,,,,,,,,,,282000
,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,1,21,,,,,,1,,,,,,,,,,,,,,,,179000
,1,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,1,21,,,,,,1,,,,,,,,,,,,,,,,210000
