haussmann,ascenseur,orientation_sud,wc_separes,salon,cuisine,metro_proche,refait_recemment,mezzanine,calme,digicode,videophone,chauffage_electrique,chauffage_individuel,chauffage_collectif,chauffage_sol,ecoles_proches,commerces_proches,sur_cour,vue_toits,porte_blindee,poutres_apparentes,parquet,baignoire,cuisine_moderne,cuisine_americaine,cuisine_equipee,sans_vis_a_vis,balcon,cinemas_proches,cheminee,prevoir_travaux,parking,cave,rangements,immeuble_pierre,gardien,dressing,lumineux,moulures,double_vitrage,ravalements_recents,buanderie,chauffage_gaz,parking_public_proche,debarras,jardin,maison,appartement,entree,plan_etoile,traversant,terrasse,piscine,terrains_sport_proches,meuble,etat_general,etat_copropriete,studio,dernier_etage,local_velos,seloger,explorimmo,fnaim,laforet,pap,paruvendu,coordonnees_precises,surface_q,coordonnee_x_q,coordonnee_y_q,arrondissement_q,etage_q,nombre_etages_q,nombre_pieces_q,nombre_salles_de_bains_q,nombre_WC_q,nombre_chambres_q,date_refection_q,charges_q,nombre_fenetres_q,surface_balcon_q,date_construction_q,hauteur_plafond_q,taxe_fonciere_q,date_ravalement_q,honoraires_q,terrasse_surface_q,piscine_taille_q,classification_energie_q,prix
,1,,1,,1,,,,,,,,1,,,,1,,,,,1,,,,1,,1,,,,1,1,,,,,,1,,,,,,,,,1,,,1,,,,,,,,,,,,,,1,,0,88,23178,488778,8,2,5,4,,,3,,,,,,,,,,,,,2000
,,,,,1,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,1,,1,1,,,,,,1,,,,,,,,,,1,,1,32,23384,488855,18,,,2,,,1,,,,,,,,,,,,,1000
,1,,1,1,1,,,,1,1,,,,,,,,,,,,1,,,,1,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,1,,1,38,22627,488439,16,2,,2,,,1,,,,,,,,,,,,,1000
1,,,1,1,1,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,1,1,,,,,,,,1,1,,,,,,1,,,,,,,,,,1,,1,58,22608,488436,16,,,3,,,2,,,,,,,,,,,,,1000
,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,1,,1,68,22809,488706,16,3,,2,,,1,,,,,,,,,,,,,1000
,1,1,,,1,,,,1,1,,,1,,,,,1,,1,,1,,,,,1,,,,,,1,,,,,1,,1,,,,,,,,1,,,,,,,1,,,,,,,,,,1,,0,60,23002,488413,15,2,,3,,,1,,,,,,,,,,,,,1000
,1,1,,,1,,,,1,1,,,1,,,,,1,,,1,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,1,,1,13,23255,488557,7,,,1,,,,,,,,,,,,,,,,0
,1,,,,1,,,,1,1,,,,1,,,,,,,,,,,,,,,,,,1,,1,,1,,1,,,,,,,,1,,1,,,,,,,,,,,,,,,,,1,,1,43,23316,488931,18,5,,2,,,1,,,,,,,,,,,,,1000
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,,1,36,24028,488348,12,3,,2,,,1,,,,,,,,,,,,,1000
,1,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,,1,81,23328,488212,14,7,,3,,,2,,,,,,,,,,,,,2000
