haussmann,ascenseur,orientation_sud,wc_separes,salon,cuisine,metro_proche,refait_recemment,mezzanine,calme,digicode,videophone,chauffage_electrique,chauffage_individuel,chauffage_collectif,chauffage_sol,ecoles_proches,commerces_proches,sur_cour,vue_toits,porte_blindee,poutres_apparentes,parquet,baignoire,cuisine_moderne,cuisine_americaine,cuisine_equipee,sans_vis_a_vis,balcon,cinemas_proches,cheminee,prevoir_travaux,parking,cave,rangements,immeuble_pierre,gardien,dressing,lumineux,moulures,double_vitrage,ravalements_recents,buanderie,chauffage_gaz,parking_public_proche,debarras,jardin,maison,appartement,entree,plan_etoile,traversant,terrasse,piscine,terrains_sport_proches,meuble,etat_general,etat_copropriete,studio,dernier_etage,local_velos,seloger,explorimmo,fnaim,laforet,pap,paruvendu,coordonnees_precises,surface,coordonnee_x,coordonnee_y,arrondissement,etage,nombre_etages,nombre_pieces,nombre_salles_de_bains,nombre_WC,nombre_chambres,date_refection,charges,nombre_fenetres,surface_balcon,date_construction,hauteur_plafond,taxe_fonciere,date_ravalement,honoraires,terrasse_surface,piscine_taille,classification_energie,prix
,,,,1,1,,,,1,,,,1,,,,,,,,,,,,,,,1,,,,,1,1,,,1,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,0,65,23557,488562,4,,5,3,1,1,1,,,,,,,,,,,,,985000
,1,1,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,1,1,,,,,,,,,1,,,,,1,,,,,1,1,,,,,,,,1,,,,,,0,320,23327,488506,6,,3,9,4,,6,,,,,,,,,,,,,3330000
,,,1,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,0,80,23446,488462,5,,,5,1,1,3,,,,,,,,,,,,,196000
,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,1,1,,,,,,,,,,,,,,1,,,,,,0,118,23446,488462,5,,,5,2,1,2,,,,,,,,,,,,,1290000
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,1,,,,,,0,297,23446,488462,5,,,6,,,4,,,,,,,,,,,,,1700000
,,,1,,1,,,,1,,,,1,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,1,1,1,,,,,,,,,,,,1,,,,,,0,64,23178,488778,8,,2,3,1,2,2,,,,,,,,,,,,,687000
,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,0,90,23574,488719,10,,,5,1,1,3,,,,,,,,,,,,,219000
,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,1,1,,,,,1,,,,,,,,1,1,,,,,,,,,,,,,,1,,,,,,1,175,23843,488544,11,,,5,,,,,,,,,,,,,,,,2300000
,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,1,,,,,,0,94,23574,488719,10,,,5,1,2,4,,,,,,,,,,,,,195000
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,1,,,,,,,,,,1,,,,,,1,184,23406,488876,18,1,,6,,,1,,,,,,,,,,,,,2461000
