haussmann,ascenseur,orientation_sud,wc_separes,salon,cuisine,metro_proche,refait_recemment,mezzanine,calme,digicode,videophone,chauffage_electrique,chauffage_individuel,chauffage_collectif,chauffage_sol,ecoles_proches,commerces_proches,sur_cour,vue_toits,porte_blindee,poutres_apparentes,parquet,baignoire,cuisine_moderne,cuisine_americaine,cuisine_equipee,sans_vis_a_vis,balcon,cinemas_proches,cheminee,prevoir_travaux,parking,cave,rangements,immeuble_pierre,gardien,dressing,lumineux,moulures,double_vitrage,ravalements_recents,buanderie,chauffage_gaz,parking_public_proche,debarras,jardin,maison,appartement,entree,plan_etoile,traversant,terrasse,piscine,terrains_sport_proches,meuble,etat_general,etat_copropriete,studio,dernier_etage,local_velos,seloger,explorimmo,fnaim,laforet,pap,paruvendu,coordonnees_precises,surface_q,coordonnee_x_q,coordonnee_y_q,arrondissement_q,etage_q,nombre_etages_q,nombre_pieces_q,nombre_salles_de_bains_q,nombre_WC_q,nombre_chambres_q,date_refection_q,charges_q,nombre_fenetres_q,surface_balcon_q,date_construction_q,hauteur_plafond_q,taxe_fonciere_q,date_ravalement_q,honoraires_q,terrasse_surface_q,piscine_taille_q,classification_energie_q,prix
,,,,,1,,,,1,,,,1,,,,,1,,,,1,,,1,1,,,,,,,,,,,1,,,,,,,,,1,1,,1,,,,,,,,,,,,1,,,,,,0,68,23990,488651,20,1,,6,2,2,4,,,,,,,,,,,,,3000
,1,,1,,1,,,,1,,,,,,,,,,,,,,1,,1,1,,,,,,1,1,1,,,1,1,,,,1,,,,1,1,,1,,,1,,,1,,,,,,1,,,,,,1,179,23175,488575,7,1,3,5,2,4,4,,,,,,,,,,,,,17000
,,,,,1,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,1,,,,,,1,,,,,,1,110,23254,488230,14,,,3,,1,2,,,,,,,,,,,,,3000
,1,,1,,1,,,,1,,,,,,,,,,,,,,1,,1,1,,,,,,1,1,1,,,1,1,,,,1,,,,1,1,,1,,,1,,,1,,,,,,1,,,,,,1,179,23175,488575,7,1,3,5,2,4,4,,,,,,,,,,,,,17000
,1,,1,,1,,,,1,,,,,,,,,,,,,,1,,1,1,,,,,,1,1,1,,,1,1,,,,1,,,,1,1,,1,,,1,,,1,,,,,,1,,,,,,1,179,23175,488575,7,1,3,5,2,4,4,,,,,,,,,,,,,17000
,,,,,1,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,1,,,,,,1,,,,,,1,110,23254,488230,14,,,3,,1,2,,,,,,,,,,,,,3000
,,,1,,1,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,1,,,,,,,,,1,,,,,,,,1,,,,,,1,,,,,,1,110,23212,488486,7,1,,4,1,1,2,,,,,,,,,,,,,2000
,,,,1,1,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,1,1,,1,,,,,,,,,,,,1,,,,,,1,190,23132,488612,7,,,7,1,,4,,,,,,,,,,,,,6000
,,,1,1,1,,,,1,,,1,,,,,,,,,,1,,,,1,,,,,,1,1,1,,,,,,,,,,,,1,1,,1,,,1,,,,,,,,,1,,,,,,1,154,23046,488838,17,,3,6,2,3,4,,,,,2000,,,,,,,,5000
,,,1,1,1,,,,1,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,1,,,,1,1,,1,,,,,,1,,,,,,1,,,,,,1,120,23036,488840,17,,,4,1,2,2,,,,,2010,,,,,,,,4000
