description,url,localisation,prix,agence,titre,infos
"vous pouvez contacter directement le proprietaire au 06.12.77.60.02. appartement, surface de 32 m2 a paris 07. la classe energie de ce bien est e. a saisir, proche de la tour eiffel ! f2 sur cour + cave de 4 m2. poutres, parquet, hauteur sejour 3m. grands rangements, cuisine us equipee, salle d'e... (cliquez sur le lien ci-dessous).",http://www.paruvendu.fr/immobilier/vente/appartement/paris-75007/1191192655A1KIVHAP000,,399000,contact : 100% entre particuliers,vente appartement 2 pieces 32 m2 environ paris 7 (75007),"nombre de pieces : 2, surface : 32m, consommation energetique : 264 kwh/m2 an"
"paris 7e-pres du champs de mars. environnement privilegie. dans immeuble ancien bien entretenu. au 3e etage. appartement 3 pieces traversant, 73m2. tres clair. se composant de: entree, salon- salle a manger avec 3 fenetres, 2 chambres, cuisine, salle de douche.wc separe. bon etat. ascenseur. digicode, interphone. cave. contactez votre agent local jean claude et daniela bibas a paris 7eme arrondissement agent commercial, conseiller en immobilier sas optimhome au 06 34 49 66 10 - plus d'informations sur http://www.bibas.optimhome.com (ref. 830030923080 / 279670)nom du negociateur : bibasjean claude et daniela statut du negociateur : agent commercial independant",http://www.paruvendu.fr/immobilier/prestige/appartement/paris-75007/1200024598A1KIVHAP000,,858600,optimhome,vente appartement 3 pieces paris 7 (75007),"nombre de pieces : 3, surface : 0m, ascenseur handicape, - nombre de chambre(s) : 2, - etage : 3, - cave"
"paris 7eme - invalides / tour maubourg - ligne directe 01 40 20 93 95 - dans un immeuble donnant sur l'esplanade des invalides, en rdc sur cour, appartement atypique de deux pieces en duplex offrant de beaux volumes comprenant une entree, un sejour ouvert sur un terrasse privative, une chambre avec grands rangements, une salle de bain avec wc et une cuisine amenagee. adresse exceptionnelle, calme et lumineux. nombreux travaux de copropriete votes. bien soumis au statut de la copropriete, 1/156 lots. quote part previsionnelle charge vendeur 2800 . pas de procedure en cours. copropriete : nb de lots : 156 budget previsionnel a la charge du vendeur : 2800.0 euros/an",http://www.paruvendu.fr/immobilier/vente/appartement/paris-75007/1203699035A1KIVHAP000,,470000,century 21 fortis immo,vente appartement 2 pieces 54 m2 environ paris 7 (75007),"nombre de pieces : 2, surface : 54m, balcon / terrasse, - nombre de chambre(s) : 1, - terrasse"
"thomas ezquerra 06.84.40.81.09 vous presente cet appartement contemporain de 202 m2 situe au cur du quartier convention. ideal famille avec adolescent ou chambre dhote. au rez-de-chaussee un appartement ( 41m2 ) deux pieces avec jardin de 13m2. au 1er etage deux appartements ( 105m2 et 60m2 ) contigues avec 2 chambres chacun. multiples configurations possible. a voir rapidement. contactez thomas ezquerra, agent commercial optimhome (rsac n530475078 greffe de paris) 06 84 40 81 09 http://www.ezquerra.optimhome.com (ref. 830030836599 / 312268 )nom du negociateur : ezquerrathomas statut du negociateur : agent commercial independant",http://www.paruvendu.fr/immobilier/prestige/appartement/paris-75015/1205800870A1KIVHAP000,,1645000,optimhome,vente appartement 7 pieces paris 15 (75015),"nombre de pieces : 7, surface : 0m, jardin / terrain, - nombre de chambre(s) : 4, - etage : 1"
"angle rue saint honore/ rue du pont neuf. au 4ieme etage d'un bel immeuble pierre de taille, ascenseur. bien d'exception 47m2. 1 chambre, salle d'eau, cuisine sur sejour, poutres, 2,75m hsp, climatisation reversible. parfait etat. prix 620 000 .",http://www.paruvendu.fr/immobilier/prestige/bel-appartement-de-caractere/particulier/1200069910A1KIVHAP000,,620000,annonce de particulier - paris (75001),vente appartement 2 pieces 47 m2 environ paris 1 (75001),"nombre de pieces : 2, surface : 47m, ascenseur handicape"
"paris 3e (75003).superbe appartement refait completement a neuf, dans un petit immeuble au coeur du marais (paris 3eme). 51 m2 loi carrez et 64 m2 au sol, + balcon de 7 m2. au 4e et dernier etage. belle vue ensoleillee. 2-3 pieces : double sejour de 25 m2 , une grande chambre. parquet, poutres. salle d'eau et wc separes. cave. chauffage central au gaz, double vitrage. possibilite d'acquerir des combles de 30 m2. faibles charges. proximite de toutes commodites. agences s'abstenir. tel: 07 63 22 07 59",http://www.paruvendu.fr/immobilier/prestige/superbe-appt-au-coeur-du-marais/particulier/1202284889A1KIVHAP000,,712000,annonce de particulier - paris (75003),vente appartement 3 pieces 64 m2 environ paris 3 (75003),"nombre de pieces : 3, surface : 64m, balcon / terrasse"
je met en vente mon appartement situe rue sainte croix de la bretonnerie 75004 paris 4eme.contact : 0468640896,http://www.paruvendu.fr/immobilier/vente/appartement-paris-4eme/particulier/1202929563A1KIVHAP000,,284000,annonce de particulier - paris (75004),vente appartement 2 pieces 19 m2 environ paris 4 (75004),"nombre de pieces : 2, surface : 19m"
"studio 16 m2 + debarras independant ; 4eme etage ; tres lumineux ; ascenseur ; calme sur cour . a rafraichir.belle piece a vivre avec kitchenette et salle de douche wc. pas de vis a vis.bel immeuble ravale tres bien entretenu. gardienne. quartier sur.charges 100 euros par mois, y compris chauffage. foncier : 201 euros.",http://www.paruvendu.fr/immobilier/vente/75005-mouffetard-studio/particulier/1200641332A1KIVHAP000,,185000,annonce de particulier - pantin (93500),vente appartement 1 piece 16 m2 environ paris 5 (75005),"nombre de pieces : 1, surface : 16m, - copropriete : oui, - situation : etage, emission de gaz a effet de serre : 11 kgeq/m2.an, consommation energetique : 100 kwh/m2 an"
"sur le secteur prise de la rue christine, proche de toutes les commodites, rue tres calme, appartement t2 (lot n13) de 35.49 m2 (carrez), double exposition, dans petite copropriete bien entretenue, au 1er etage, comprenant une entree avec grand placard amenage, un sejour avec cheminee decorative, parquet au sol et poutres apparentes, une cuisine separee avec deux plaques electriques, un petit top et meubles de rangements, une chambre avec parquet au sol, une salle de bains avec wc.taxe fonciere : 632 .agences s'abstenir.",http://www.paruvendu.fr/immobilier/vente/appartement-t2-35-m2-6eme-arrondissement/particulier/1204259001A1KIVHAP000,,430000,annonce de particulier - paris (75012),vente appartement 2 pieces 35 m2 carrez paris 6 (75006),"nombre de pieces : 2, surface : 35m, - surface loi carrez en m2 : 35, emission de gaz a effet de serre : 5 kgeq/m2.an, consommation energetique : 166 kwh/m2 an"
"paris 6eme arrondissement, entre le bon marche et montparnasse, nous vous proposons un beau studio dans un immeuble moderne, au 1er etage avec ascenseur et gardienne. il est compose d'une entree avec placard, une piece principale claire donnant sur jardin et sans vis-a-vis, une cuisine separee avec coin repas, et une salle de bains avec wc. ce bien est idealement situe, proche de tous les transports (metro duroc ou vaneau) au calme, et proche de tous les commerces (bon marche a 500 m.). nombre de lots de la copropriete : , montant moyen annuel quote part budget previsionnel : , , . reseau immobilier capifrance - votre agent commercial magali murekian 06 20 69 05 32 - voir photos (ref.382259) sur www.capifrance.frnom du negociateur : murekianmagali bien en copropriete : 1 procedure sur le syndicat des coproprietaires : 0 statut du negociateur : agent commercial independant",http://www.paruvendu.fr/immobilier/vente/appartement/paris-75006/1205016207A1KIVHAP000,,338000,sas capi,vente appartement 1 piece 30 m2 environ paris 6 (75006),"nombre de pieces : 1, surface : 30m, ascenseur handicape, jardin / terrain, - etage : 1, emission de gaz a effet de serre : 79 kgeq/m2.an, consommation energetique : 339 kwh/m2 an"
