description,metro/0,metro/1,metro/2,url,localisation,prix,titre,infos
"deux entrees dans la partie la plus commercante de la rue charonne donnent l'acces a un immeuble de standing de 12 etages. appartement tres calme de 107 m2 avec une vue degagee, au 6e etage oriente sud donnant sur un grand jardin privatif. grande entree avec une double porte donnant acces a un grand sejour double de 32,30 m2. un couloir desservant 3 chambres a gauche, de grands placards alternant avec 2 toilettes et 2 salles de bains sur la droite. vide ordure dans la cuisine, local a velo commun et cave privative. parking au 2e sous-sol.merci de me contacter de 12h a 22h.",charonne,faidherbe,rue des boulets,http://www.pap.fr/annonce/vente-appartement-maison-paris-75-g439-r406802264,paris 11e (75011),850000,vente appartement 5 pieces 107 m2 paris 11e,"pieces : 5, chambres : 3, surface : 107, prix / m : 7.944"
"rue labie 75017 a deux pas de la place saint ferdinand et du metro porte maillot au 6eme etage avec ascenseur au calme, une surface de 17,51 m2 (16,31 carrez) entierement a refaire. composee d'une piece + piece d'eau avec wc separes dans le studio. deux fenetres orientees ouest. je ne signe aucun mandat.",,,,http://www.pap.fr/annonce/vente-appartement-maison-paris-75-g439-r407800856,paris 17e (75017),170000,vente studio 17 m2 paris 17e,"piece : 1, surface : 17, prix / m : 10.000"
"au coeur du quartier de la campagne a paris et dans un joli immeuble moderne de 1999, au 2eme etage avec ascenseur, tres bel appartement lumineux de trois pieces comprenant une entree, sejour avec cuisine us amenagee, deux chambres ouvrant sur un balcon filant, grand dressing pour la chambre parentale, buanderie, salle de bains avec baignoire et douche, wc independants. chauffage individuel electrique. tres belles prestations : digicode, interphone, locaux a velos et poussettes. tres calme et tres bien agence. copropriete de 30 lots. pas de travaux prevus. charges annuelles : 3.600 . proche toutes commodites : ecoles (sectorisation avantageuse creches, maternelles et elementaires), commerces, transports en commun (metros, bus et tram). possibilite de parking dans la copropriete en sus.merci de me contacter entre 13h et 14h ou entre 19h et 21h pendant la semaine.",severine,pelleport,porte de bagnolet,http://www.pap.fr/annonce/vente-appartement-maison-paris-75-g439-r407501245,paris 20e (75020),480000,vente appartement 3 pieces 66 m2 paris,"pieces : 3, chambres : 2, surface : 66, prix / m : 7.273"
"appartement de 80.4 m2 carrez. proche boulevard davout, (tram t3, metro ligne 3 et 9, bus : 57, 26, 64). bel appartement familial de 4 pieces, ensoleille, traversant, compose d'une entree, cuisine amenagee, salle de bains, toilettes, 2 chambres, sejour double (34 m2) (possibilite d'une 3eme chambre) avec baies vitrees donnant sur un balcon de 8 m2 expose sud/ouest. grands placards (entree et couloir). situe au 8eme d'un immeuble de 11 etages avec ascenseur, gardien, digicode et interphone. proche de toutes commodites (commerces, marche ...) et ecoles, colleges et lycees. ce bien comprend egalement une cave et un parking en sous-sol. residence avec jardins tres bien entretenue, eau chaude et chauffage collectifs.",mairie de miribel,porte de montreuil,maraichers,http://www.pap.fr/annonce/vente-appartement-maison-paris-75-g439-r407100635,paris 20e (75020),540000,vente appartement 4 pieces 80 m2 paris,"pieces : 4, chambres : 2, surface : 80, prix / m : 6.750"
"grand studio (ancien 2 pieces, recloisonnable) de 31,5 m2. village bastille-roquette-charonne. parfait etat. entierement equipe (meuble, regulierement loue en courte duree au prix de 1.250  mensuels), on pose seulement les valises. 4e etage.",breguet - sabin,voltaire (leon blum),ledru-rollin,http://www.pap.fr/annonce/vente-appartement-maison-paris-75-g439-r408400717,paris 11e (75011),300000,vente studio 31 m2 paris 11e,"piece : 1, surface : 31, prix / m : 9.677"
"a 100 m du metro place des fetes et a 5 minutes a pied du parc des buttes chaumont. beau studio de 36 m2 (loi carrez) refait a neuf, calme et clair oriente sud (vue sur montmartre et tout l'ouest de paris), au 8eme etage dans residence standing (gardien, 3 ascenseurs, digicode, interphone, video de surveillance) avec parking et cave. entree avec 2 placards, cuisine independante, wc separes, belle piece a vivre avec placard et double vitrage, parquet, salle de bains (lavabo, bidet et baignoire). eau chaude et chauffage collectifs. agences merci de s'abstenir. pour tout renseignement, merci de prendre contact par courriel en indiquant votre nom et votre numero de telephone.",place des fetes,telegraphe,pre saint-gervais,http://www.pap.fr/annonce/vente-appartement-maison-paris-75-g439-r405002337,paris 19e (75019),239000,vente studio 36 m2 paris 19e,"piece : 1, chambre : 1, surface : 36"
"rare. magnifique appartement traversant pres du trocadero, calme absolu donnant sur jardin d'un cote et cour sur la villa scheffer de l'autre cote. au 2e etage d'un immeuble recent de standing, en retrait par rapport a la rue. cet appartement de 96,48 m2 en loi carrez et 9 m2 de balcon a ete refait integralement a neuf (parquet, fenetres, radiateurs, electricite, plomberie, menuiserie) par un architecte. plan ideal, aucune perte d'espace avec de nombreux rangements. coin jour / coin nuit. triple sejour de 42 m2 avec cuisine americaine et ilot de cuisson/bar. cette grande piece a vivre donne sur un balcon filant et sur un jardin expose sud-ouest. 2 (possibilite d'une troisieme) grandes chambres 19 m2 et 16 m2 avec la encore, de grands placards. toilettes invites avec lave-mains separe, salle de bains avec baignoire, douche a l'italienne, double vasque et d'autres toilettes. possibilite d'une deuxieme salle de douche dans une des chambres. appartement equipe high tech avec hauts parleurs et systeme sonos dans la cuisine et la salle de bains, qui permet de controler la musique depuis une appli smartphone. volets et alarme en domotique.",rue de la pompe (avenue georges mandel),trocadero,avenue henri martin,http://www.pap.fr/annonce/vente-appartement-maison-paris-75-g439-r403600891,paris 16e (75116),1330000,vente appartement 3 pieces 96 m2 paris,"pieces : 3, chambres : 2, surface : 96"
"agences merci de vous abstenir ! viistable le samedi 24 octobre (nous n'habitons pas sur paris et organisons une journee visites) paris 15eme, a 100 metres du metro convention, rue victor duruy. un appartement lumineux d'une surface habitable de 72,17 m2 loi carrez, au 5eme etage avec ascenseur, comprenant : une entree avec 2 grands placards (7,5 m2) desservant une belle piece de sejour-salon (27 m2) (parquet), cuisine separee (6,8 m2), degagement, deux chambres (parquet), salle de bains et wc. cave 6 m2. possibilite d'agrandissement car studio voisin a vendre egalement. immeuble tres bien tenu, accessible aux personnes a mobilite reduite, grand hall d'entree avec rangements pour velos, poussettes etc... possibilite parking. toutes commodites au pied de l'immeuble : metro convention, lignes de bus, commerces, marche, cinema gaumont, etc. diagnostics immobiliers realises. plus de photos et plan de l'appartement sur demande. ouverts a la discussion sur le prix.",convention,vaugirard (adolphe cherioux),felix faure,http://www.pap.fr/annonce/vente-appartement-maison-paris-75-g439-r406502357,paris 15e (75015),600000,vente appartement 3 pieces 72 m2 paris 15e,"pieces : 3, chambres : 2, surface : 72"
"appartement de 40,34 m2 situe a cote du metro pre-saint-gervais. ensoleille et bien distribue, ce 2 pieces avec vue sur un jardin comporte un sejour de 14 m2, une chambre spacieuse, une salle de bains, des wc separes et une cuisine independante. toutes les pieces donnent sur une cour calme et arboree. 2eme etage sans ascenseur.",pre saint-gervais,hopital robert-debre,telegraphe,http://www.pap.fr/annonce/vente-appartement-maison-paris-75-g439-r405600864,paris 19e (75019),245000,vente appartement 2 pieces 40 m2 paris,"pieces : 2, chambre : 1, surface : 40, prix / m : 6.125"
"rue des petites ecuries/bonne nouvelle. appartement 65 m2 sur double cours tres calme et lumineux, au 3eme etage avec ascenseur. entree, sejour-cuisine 33 m2, grande chambre 15 m2, dressing 5 m2 (possibilite 2 chambres), salle de bains, wc. toiture neuve ravalement fait il y a 4 ans parties communes neuves (electricite, peinture, fibre, mise aux normes ascenseur, carrelage, lampe jielde) charges trimestrielles : 480 euros. taxe fonciere 661 euros agences s'abstenir",chateau d'eau,bonne nouvelle,poissonniere,http://www.pap.fr/annonce/vente-appartement-maison-paris-75-g439-2-r408400688,paris 10e (75010),634000,vente appartement 2 pieces 65 m2 paris 10e,"pieces : 2, chambre : 1, surface : 65"
