url,titre,infos,description,prix
http://www.seloger.com/annonces/achat/appartement/paris-5eme-75/saint-victor/102930993.htm?ci=750105&idqfix=1&idtt=2&idtypebien=1&tri=d_dt_crea&bd=Li_LienAnn_1,"vente appartement 2 pieces 33,38m2 paris 5eme","travaux a prevoir, surface de 33 m2, 4 etage, 2 pieces, 1 chambre, 1 salle de bains, 1 toilette, toilettes separees, television par cable, cuisine americaine, dpe: e (294), ges : b (9)","75005 paris: rue rollin - immeuble ancien - 2 pieces atypique - 4eme etage sans ascenseur - 33,38 m2 + 10 m2 de mezzanine - salon avec cuisine us - chambre - salle de bains - wc separes - sur cour - travaux a prevoir - 300.000 e.",300000
http://www.seloger.com/annonces/achat-de-prestige/appartement/paris-1er-75/103148311.htm?ci=750101&idqfix=1&idtt=2&idtypebien=1&tri=d_dt_crea&bd=Li_LienAnn_1,vente de prestige appartement 4 pieces 114m2 paris 1er,"surface de 114 m2, 6 etages, 4 etage, 4 pieces, 2 chambres, 1 salle de bains, 1 salle d'eau, 2 toilettes, toilettes separees, parquet, ascenseur, cuisine equipee, entree, salle de sejour :, orientation ouest, sud, dpe: d (205), ges : e (48)","rue daunou. au 4eme etage avec ascenseur d'un immeuble de 6 etages construit en 1780, bel appartement traversant entierement renove avec gout et materiaux de qualite de 111m2 carrez expose sud ouest et compose d'une entree, une buanderie, une cuisine equipee avec ilot central, deux grandes chambres, un beau sejour, une salle de bain avec baignoire et douche, deux wc. 3eme chambre et 2eme salle d'eau possibles. hauteur sous plafond 2.45m. baigne de lumiere. immeuble ravale. charges 500 e/mois (eau chaude et chauffage individuel electrique). taxe fonciere 1776 e. parking possible a la location. contact.",1224000
http://www.seloger.com/annonces/achat-de-prestige/appartement/paris-6eme-75/odeon/103297845.htm?ci=750106&idqfix=1&idtt=2&idtypebien=1&tri=d_dt_crea&bd=Li_LienAnn_1,vente de prestige appartement 4 pieces 127m2 paris 6eme,"travaux a prevoir, surface de 127 m2, 2 etage, 4 pieces, 2 chambres, 1 salle de bains, ascenseur, cave, entree, salle a manger","place saint sulpice. exclusivite. au 2eme etage d'un charmant immeuble d'angle du 18e siecle, cet appartement d'environ 135 m2 propose de belles perspectives au sud sur la place et l'eglise saint-sulpice. ce bien va necessiter des travaux de renovation importants. entree salon d'angle salle a manger bureau ou 2e chambre chambre principale cuisine et buanderie cave.",2350000
http://www.seloger.com/annonces/achat/appartement/paris-13eme-75/102401841.htm?ci=750113&idqfix=1&idtt=2&idtypebien=1&tri=d_dt_crea&bd=Li_LienAnn_1,vente studio 16m2 paris 13eme,"surface de 16 m2, 1 piece, 1 salle d'eau, 1 toilette, 1 balcon, cuisine coin cuisine, gardien, entree, orientation ouest, dpe: f (334), ges : d (28)","ideal 1er achat.. dans une residence recente, agreable studio renove en dernier etage, compose d'une entree, une belle piece a vivre avec balcon en exposition ouest, une salle d'eau avec wc, une kitchenette, residence securisee avec gardien.. copropriete de lots charges annuelles: 1200 euros.",170000
http://www.seloger.com/annonces/achat/appartement/paris-13eme-75/dunois-bibliotheque-jeanne-d-arc/102590377.htm?ci=750113&idqfix=1&idtt=2&idtypebien=1&tri=d_dt_crea&bd=Li_LienAnn_1,vente studio 20m2 paris 13eme,"surface de 20 m2, annee de construction 1979, 7 etages, 7 etage, 1 piece, 1 salle d'eau, 1 toilette, ascenseur, 1 balcon, cuisine coin cuisine, entree, orientation est, dpe: e (), ges : f ()","paris xiiieme - dernier etage avec balcon - jeanne d'arc - efficity, l'agence qui estime votre bien en ligne, vous propose ce studio entierement renove idealement situe a deux pas de la place jeanne d'arc. il se situe au dernier etage d'un immeuble recent tres bien entretenu et securise avec digicode et gardienne. cet appartement oriente ouest se compose d'une entree avec coin cuisine, d'une piece principale avec balcon donnant sur cour et jardin, une salle d'eau avec wc. efficity sa, au capital de 270 983 e - carte professionnelle t 12024 delivree par la prefecture de police de paris - siege: 100 boulevard du montparnasse 75014 paris - garantie financiere cegc pour un montant de 1640000,00e - rcs: paris 497617746 - kohei sakaguchi, agent commercial du reseau immobilier efficity est inscrit au rsac de creteil n537755233 ref annonce: 18463-0710.",169000
http://www.seloger.com/annonces/achat/appartement/paris-13eme-75/103276113.htm?ci=750113&idqfix=1&idtt=2&idtypebien=1&tri=d_dt_crea&bd=Li_LienAnn_1,"vente studio 19,8m2 paris 13eme","surface de 20 m2, 4 etages, 2 etage, 1 piece, 1 salle d'eau, 1 toilette, chauffage individuel electrique, cuisine coin cuisine, digicode, salle de sejour : 16 m2, orientation ouest, sud","bibliotheque francois mitterand - studio de 19,8 m2 renove avec salle de douche, toilettes et kitchenette equipee, situe au 2eme etage dans un immeuble entierement rehabilite. orientation sud-ouest.",169000
http://www.seloger.com/annonces/achat-de-prestige/appartement/paris-13eme-75/olympiades-choisy/103276437.htm?ci=750113&idqfix=1&idtt=2&idtypebien=1&tri=d_dt_crea&bd=Li_LienAnn_1,vente de prestige appartement 5 pieces 102m2 paris 13eme,"surface de 102 m2, 1 etage, 5 pieces, 3 chambres, 1 salle de bains, 1 salle d'eau, 1 toilette, toilettes separees, meuble, ascenseur, cave, terrasse, 1 terrasse, 1 parking, chauffage individuel, cuisine separee equipee, interphone, digicode, entree, salle a manger, salle de sejour :, calme, dpe: d (229), ges : b (7)","superbe 5 pieces familial agremente d'une magnifique terrasse de 50 m2 ensoleillee et entierement arboree exposee sud-ouest. l'appartement d'une superficie de 102 m2 est traversant, le salon et la cuisine, ouverts sur la terrasse, etant separes des trois chambres par l'entree. l'appartement se situe dans le quartier de la rue de tolbiac, a proximite du quartier de la bnf et des quais de seine. l'appartement a ete integralement refait a neuf en 2013 et dispose d'une climatisation reversible. il est compose d'une entree, d'un sejour/salle a manger de 31 m2, d'une belle cuisine independante entierement equipee disposant d'un bar ouvert sur le salon, le tout donnant sur la terrasse de plain-pied, de trois chambres, dont une grande chambre parentale avec salle de douche independante, d'une salle de bains avec wc, d'une buanderie et d'un wc separe. cet appartement se trouve a proximite des transports et des commerces, dans une rue calme et neanmoins tres conviviale avec des commerces de proximite. il est vendu avec une cave et un grand parking situe au sous-sol de l'immeuble. votre consultante mme francis mia.",1023750
http://www.seloger.com/annonces/achat/appartement/paris-17eme-75/ternes-maillot/103281809.htm?ci=750117&idqfix=1&idtt=2&idtypebien=1&tri=d_dt_crea&bd=Li_LienAnn_1,vente appartement 2 pieces 20m2 paris 17eme,"surface de 20 m2, annee de construction 1900, 7 etage, 2 pieces, 1 chambre, 1 salle d'eau, 1 toilette, meuble, parquet, ascenseur, chauffage individuel, cuisine separee equipee, digicode, gardien, vue","situe entre l'etoile et la place des ternes. bel immeuble haussmannien avenue mac mahon. appartement 2 pieces entierement equipe amenage et equipe au 7eme et dernier etage ascenseur. comprenant, une salle de douches, un coin cuisine, un sejour, une chambre. vue degagee, bonne exposition, bon etat. ideal investisseur, location meublee. charges annuelles: 720 e honoraires acheteur inclus: 4.68 %.",299000
http://www.seloger.com/annonces/achat/appartement/paris-17eme-75/courcelles-wagram/103284187.htm?ci=750117&idqfix=1&idtt=2&idtypebien=1&tri=d_dt_crea&bd=Li_LienAnn_1,vente appartement 3 pieces 88m2 paris 17eme,"surface de 88 m2, 4 etages, 3 etage, 3 pieces, 2 chambres, 1 salle de bains, 1 toilette, rangements, ascenseur, cave, digicode, gardien, entree, salle a manger, vue","paris xviie - villiers / bremontier - beau 3 pieces de 88m2 au 3eme etage, vue degagee, immeuble ancien de 1880 de bon standing. il se compose d'une entree, salon / salle a manger (45 m2), une chambre, placards/penderies, cuisine amenagee, salle de bains, wc separes. cave. ascenseur, digicode, gardien. cave. a proximite immediate du metro wagram, lycee carnot et de tous commerces. astim transactions, agence specialisee dans l'immobilier de standing depuis 1960 vous accueille du lundi au vendredi de 9h00 a 20h00 au 16 rue fourcroy - paris 17e (metro ternes). vous pouvez consulter nos annonces ou nous contacter directement 7j/7.",730000
http://www.seloger.com/annonces/achat/appartement/paris-1er-75/saint-germain-l-auxerrois/103113409.htm?ci=750101&idqfix=1&idtt=2&idtypebien=1&listing-listpg=2&tri=d_dt_crea&bd=Li_LienAnn_1,vente appartement 2 pieces 40m2 paris 1er,"travaux a prevoir, surface de 40 m2, 2 pieces, 1 chambre, 1 salle d'eau, 1 toilette, toilettes separees, 1 balcon, cuisine americaine, salle de sejour :","dans tres bel immeuble 1820 en pierre de taille, tres joli 2 pieces + balcon, poutres, cuisine a l'americaine, sejour, 1 chambre, salle d'eau, wc, 6 fenetres, tres ensoleille, vue superbe sur seine et palais de justice, rare !!",525000
