description,url,localisation,prix,agence,titre,infos
"Rue du Louvre - Situe au 5eme etage avec ascenseur d'un immeuble haussmannien dont les parties communes ont ete entierement renovees, cet appartement beneficie d'une superbe luminosite, de belles vues degagees, d'un large ballon filant (+ de 30 m2) et d'un tres bon plan, sans perte d'espaces. Des travaux de renovation sont a prevoir. Une cave complete ce bien.",http://www.explorimmo.com/annonce-6999474.html,"Paris 1er,",1450000,Novestia Immobilier,Vente appartement 5 pieces 122 m2,"Nombre de pieces : 5, Surface : 122 m2, Nombre de chambres : 4, Etage : 5, Energie : NC, GES : NC"
"ATYPIQUE **A deux pas de la place Vendome**Rue Danielle Casanova, dans un immeuble classe, au 4eme et dernier etage sans ascenseur, nous vous proposons un appartement atypique de 90 m2 loi Carrez et 111 m2 en habitable, tres clair, comprenant : un double sejour, une cuisine amenagee, trois chambres et une salle de bains. Une cave complete le lot. [ Chauffage electrique individuel, 23 coproprietaires, charges de copropriete 180 /mois, diagnostics complets sur demande].*** Groupe Paris Seine ***",http://www.explorimmo.com/annonce-6999864.html,Paris 1er,1180000,Paris Seine Saint-honore,Vente appartement 5 pieces 111 m2,"Nombre de pieces : 5, Surface : 111 m2, Nombre de chambres : 3, Nombre de salles de bain : 1, Type de chauffage : Chauffage electrique, Etage : 4, Cave : oui, Digicode : oui, Interphone : oui, Salle de bain : oui, Energie : D (223), GES : C (12)"
"RARE **PLACE VENDOME/RUE DANIELLE CASANOVA**En plein Coeur du Ier, a DEUX PAS DE LA PLACE VENDOME, dans un Immeuble Classe, au 3eme etage avec acces par un magnifique escalier en fer forge, un Appartement Familial traversant en Parfait Etat de 135,62 m2 loi carrez qui se compose d'un grand Sejour, trois Chambres, une Cuisine independante amenagee et equipee, deux Dressings, une Salle de bains et une Salle d'eau. Auquel s'ajoute une Cave et un Debarras. **Possibilite d'acheter un Studio de 20 m2 en",http://www.explorimmo.com/annonce-6924242.html,Paris 1er,1735000,Paris Seine Saint-honore,"Vente appartement 4 pieces 135,62 m2","Nombre de pieces : 4, Surface : 135,62 m2, Nombre de chambres : 3, Nombre de salles de bain : 1, Type de chauffage : Chauffage electrique, Cave : oui, Digicode : oui, Interphone : oui, Salle d'eau : oui, Salle de bain : oui, Energie : NC, GES : NC"
"Boutique dans les jardins du Palais Royal, Galerie Montpensier. En rez-de-chaussee sur la Galerie, 45m2, et a l'etage, communiquant par un escalier, 35m2. Pret a porter, maroquinerie, chaussures, accessoires de mode. Loyer annuel 105.865 HT. Charges 250/mois.",http://www.explorimmo.com/annonce-6776904.html,"Paris 1er,",500000,Jafis,Vente divers 80 m2,"Nombre de pieces : Non precise, Surface : 80 m2, Energie : NC, GES : NC"
"PARIS IIeme - OPERA - RUE MICHODIERE - Efficity, l'Agence qui estime votre bien en ligne, vous propose ce 3 Pieces de 63,12 M2 Loi Carrez, au 4eme etage cote cour et tres AU CALME.Cet appartement se compose d'une entree, d'un vaste sejour, d'une cuisine (possibilite d'ouvrir), de 2 chambres, de nombreux placards, une salle de bain et d'un wc. Metro OPERA et 4 septembre. Ainsi que des commerces.---------------------Efficity propose you this rare apartment of 64M2 on the 4th floor without lift with",http://www.explorimmo.com/annonce-6627106.html,"Paris 1er,",625000,Efficity,Vente appartement 3 pieces 64 m2,"Nombre de pieces : 3, Surface : 64 m2, Nombre de chambres : 2, Nombre de salles de bain : 1, Type de chauffage : Chauffage electrique, Etage : 4, Salle de bain : oui, Energie : F (340), GES : C (18)"
"Metro Louvre Rivoli, Place Des Deux Ecus, Dans un bel immeuble ancien, au 2eme etage (ascenseur en cour) bureaux libre de caractere, comprenant : une entree, 4 bureaux, une cuisine independante, un wc separee, parquet, moulures, cheminee, 3m HSP, calme et lumineux. (possibilites de changer l'affectation en habitation) A Saisir! Contact : 06.64.16.10.85. dont 2.17 % honoraires TTC a la charge de l'acquereur.",http://www.explorimmo.com/annonce-6251476.html,"Paris 1er,",940000,Premier Immobilier,Vente divers 5 pieces 84 m2,"Nombre de pieces : 5, Surface : 84 m2, Nombre de chambres : 4, Energie : NC, GES : NC"
FONDS DE COMMERCE A VENDRE - PLACE VENDOME PARIS 1er-Fonds de commerce avec despecialisation (pour cause de depart a la retraire) a ceder idealement situe place Vendome. (actuellement l'activite est du pret a porter et acitvites connexes)La superficie du local est de 32m2 avec 7m2 de reserve et 3m2 de WC avec point d'eau.Fin de bail: 31 decembre 2016Loyer: 35.000  HT/HC/ANContact: Emmanuelle 06.75.73.04.11,http://www.explorimmo.com/annonce-2078218.html,Paris 1er,875500,Aream Vente,Vente divers 2 pieces 32 m2,"Nombre de pieces : 2, Surface : 32 m2, Nombre de chambres : 1, Energie : NC, GES : NC"
"PARIS 1ER - LES HALLES / PONT NEUF - Ligne Directe: 01.40.20.93.95 - Rue Saint Honore - Chambre de service avec tout le confort (WC, douche) meublee en parfait etat, donnant sur cour, au 3eme etage d'un immeuble ancien tres bien tenu. Idealement placee. Le charme de l'ancien est present avec parquet et poutres. Ideal pour un pied a terre, pour un etudiant ou bureau d'appoint. Bien soumis au statut de la copropriete. 1 lot sur 16. Quote-part budget previsionnel de 280,15 euros/an. Pas de procedure",http://www.explorimmo.com/annonce-4671348.html,Paris 1er,69000,Fortis Immo Paris 1 (century 21),"Vente studio 6,22 m2","Nombre de pieces : 1, Surface : 6,22 m2, Etage : 3, Energie : E (277), GES : C (13)"
"Rue du Louvre, Aux Derniers Etages d'un Immeuble Ancien, Duplex contemporain de 430m2 avec 55m2 de Terrasse. Grande Reception, Quatre Chambres, Quatre Salles de Bains, Salle de Cinema, Vue exceptionnelle sur les Tuileries / Louvre et Tour Eiffel. Domotique. Mickael Cherki",http://www.explorimmo.com/annonce-30565264-1.html,Paris 1er,18000000,Mc Immo,Vente appartement 10 pieces 430 m2,"Nombre de pieces : 10, Surface : 430 m2, Nombre de chambres : 4, Statut : libre, Etage : Dernier etage, Terrasse : oui, Energie : NC, GES : NC"
PARIS 1ER - PYRAMIDES IMMEUBLE PDT STANDING avec Ascenseur - BEL APPARTEMENT 136 m2 vendu occupe (locataire agee de 93 ans) - BELLE RECEPTION + 2 CHAMBRES + BALCONS FILANTS - vues degagees - Nous telephoner pour plus de details,http://www.explorimmo.com/annonce-7014946.html,"Paris 1er,",1370000,A1 Palais Royal Immobilier,"Vente appartement 4 pieces 136,3 m2","Nombre de pieces : 4, Surface : 136,3 m2 (loi carrez), Nombre de chambres : 2, Nombre de salles de bain : 1, Statut : occupe, Etage : 5, Exposition : Sud-Ouest, Ascenseur : oui, Balcon : oui, Cheminee : oui, Digicode : oui, Interphone : oui, Salle de bain : oui, Vue degagee : oui, Energie : C (135), GES : D (26)"
