url,titre,infos,description,prix
http://www.laforet.com/acheter/paris-01/appartement-3-pieces-VA1620102064,Appartement T3 a vendre a Paris 01 - 650 000 ,"Cuisine : Americaine, Nombre de chambres : 1 chbre(s), Salle de bain : 1 salle(s) de bain, Chauffage : GAZ, Annee de construction : 1700, Bien soumis a la copropriete : Oui, Nombre de lots de la copropriete : 13, Charges annuelles : 2650, Consommation energetique : 276 Kwh/m2/an","Appartement 3 piece(s) - 63 m2 environ - 650 000  * PARIS 1ER - HALLES / FONTAINE DES INNOCENTS En plein coeur de Paris, au 2eme etage d'une copropriete bien tenue, vous trouverez cet appartement 3 pieces d'environ 63M2 au sol ( environ 53m2 carrez) en parfait etat, plein de charme et typique du quartier. Il comprend un sejour avec cuisine americaine, un second sejour (ou chambre), une autre chambre mansardee a l'etage, une salle de bain avec WC. Tres calme, proche tout commerces et transports.",650 000
http://www.laforet.com/acheter/paris-02/appartement-5-pieces-VA1620101937,Appartement T5 a vendre a Paris 02 - 1 450 000 ,"Cuisine : Simple, Nombre de chambres : 4 chbre(s), Chauffage : GAZ, Annee de construction : 1850, Ascenseur : Oui, Bien soumis a la copropriete : Oui, Nombre de lots de la copropriete : 0, Charges annuelles : 0, Consommation energetique : 108 Kwh/m2/an","Appartement 5 piece(s) - 143 m2 environ - 1 450 000  * PARIS 02- RUE SAINTE ANNE Dans un bel immeuble fin XIXe siecle, tres bien tenu, magnifique appartement familial de 142 m2 compose de 5 pieces. Une belle entree, six fenetres sur rue. Parquet en point de Hongrie, tres belles moulures et Grande Hauteur sous Plafond. Actuellement 3 chambres sur cour, possibilite d'en faire une 4e. Ascenseur, gardien. Local a usage mixte. Travaux a prevoir. Tres belles prestations, a voir rapidement.",1 450 000
http://www.laforet.com/acheter/paris-02/appartement-2-pieces-VA1620102085,Appartement T2 a vendre a Paris 02 - 440 000 ,"Cuisine : Amenagee Et Equipee, Nombre de chambres : 1 chbre(s), Salle d'eau : 1, Chauffage : ELECTRICITE, Cave : 1, Bien soumis a la copropriete : Oui, Nombre de lots de la copropriete : 45, Charges annuelles : 1300, Consommation energetique : 346 Kwh/m2/an","Appartement 2 piece(s) - 43 m2 environ - 440 000  * PARIS 2eme - BONNE NOUVELLE Situe en etage eleve, dans un bel immeuble du 18eme, un vaste deux pieces beneficiant d'une lumiere traversante. Il se compose d'un double sejour ouvert sur une cuisine amenagee et equipee, une chambre, une salle de douche et wc separes. TERRASSE d'env 4m2 donnant sur la rue ( Expo Nord-Ouest) Lumineux, calme et bien distribue. RARE.",440 000
http://www.laforet.com/acheter/paris-03/appartement-2-pieces-V08690202360,Appartement T2 a vendre a Paris 03 - 499 000 ,"Cuisine : Independante, Nombre de chambres : 1 chbre(s), Salle de bain : 1 salle(s) de bain, Chauffage : ELECTRICITE, Bien soumis a la copropriete : Oui, Nombre de lots de la copropriete : 20, Charges annuelles : 1389, Consommation energetique : 354 Kwh/m2/an","Appartement 2 piece(s) - 54 m2 environ - 499 000  * PARIS 03- Notre Dame de Nazareth Duplex au 4eme etage sans ascenseur d'environ 54m2 au sol, 41 m2 loi Carrez en excellent etat. Compose d'une grande piece principale, d'une cuisine independante et au dessus une belle chambre avec salle d'eau, de nombreux rangements. Clair et calme. Taux d'honoraires : 5.05% *",499 000
http://www.laforet.com/acheter/paris-03/appartement-2-pieces-V08690202364,Appartement T2 a vendre a Paris 03 - 460 000 ,"Cuisine : Independante, Nombre de chambres : 1 chbre(s), Salle d'eau : 1, Chauffage : ELECTRICITE, Cave : 2, Bien soumis a la copropriete : Oui, Nombre de lots de la copropriete : 17, Charges annuelles : 20400, Consommation energetique : 409 Kwh/m2/an","Appartement 2 piece(s) - 45 m2 environ - 460 000  * PARIS 03 - Rue Chapon. Au 4eme etage sans ascenseur, dans un immeuble ancien, un appartement d'environ 45m2 traversant, comprenant salon, cuisine dinatoire, chambre avec dressing, salle d'eau et w.-c. Vue sur les toits de Paris. Calme et lumineux 2 caves. Taux d'honoraires : 4.55% *",460 000
http://www.laforet.com/acheter/paris-04/appartement-3-pieces-V08690202327,Appartement T3 a vendre a Paris 04 - 1 135 000 ,"Surface sejour : 66 m2, Cuisine : Americaine, Nombre de chambres : 2 chbre(s), Salle de bain : 1 salle(s) de bain, Chauffage : ELECTRICITE","Appartement 3 piece(s) - 146 m2 environ - 1 135 000  * Paris IV - Quartier Sully Morland Ancien atelier proche des bords de Seine, cet espace atypique de 146 m2 beneficie d'une hauteur sous plafond de 4 metres. Amenage sur 2 niveaux : Le rez-de-chaussee compose d'un LOFT de 66m2 avec cuisine ouverte equipee et w.-c, donnant sur cour et rue calme. Le niveau inferieur de 80 m2 , comprend 2 chambres, dressing, salle de bains, douche, w.-c, (fenetre + extraction d'air + paves de lumiere). Excellent potentiel.",1 135 000
http://www.laforet.com/acheter/paris-05/appartement-1-piece-V08330102373,Studio 13.82 m2 a vendre a Paris 05 - 120 000 ,"Cuisine : Kitchenette, Salle d'eau : 1, Chauffage : ELECTRICITE, Annee de construction : 1900, Consommation energetique : 517 Kwh/m2/an","Appartement 1 piece(s) - 13.82 m2 environ - 120 000  * PARIS V. Proche quartier St Michel, chambre de 13.82m2 en surface au sol. Au pied des commerces, metro MAUBERT MUTUALITE. IDEAL INVESTISSEURS.",120 000
http://www.laforet.com/acheter/paris-06/appartement-5-pieces-V08270104625,Appartement T5 a vendre a Paris 06 - 1 970 000 ,"Cuisine : Independante, Nombre de chambres : 3 chbre(s), Salle d'eau : 3, Chauffage : GAZ, Cave : 1, Ascenseur : Oui, Consommation energetique : 132 Kwh/m2/an","Appartement 5 piece(s) - 127.65 m2 environ - 1 970 000  * ODEON Idealement situe au coeur de Saint Germain des Pres, au quatrieme etage avec ascenseur d'un immeuble Haussmannien d'excellent standing, appartement familial (6P 128m2 ) calme et lumineux offrant un bon niveau de confort et comprenant: Entree, salon, salle a manger, cuisine independante, trois chambres avec chacune une salle d'eau avec WC, bureau. Nombreux rangements. Grande Cave. Copropriete de 41 lots, charges courantes de 3985 euros /an. LAFORET PRESTIGE PARIS 6 - Regulated by RICS.",1 970 000
http://www.laforet.com/acheter/paris-07/appartement-2-pieces-V08270105037,Appartement T2 a vendre a Paris 07 - 1 195 000 ,"Cuisine : Americaine Equipee, Nombre de chambres : 1 chbre(s), Salle de bain : 1 salle(s) de bain, Chauffage : GAZ, Cave : 1, Terrasse : Oui, Consommation energetique : 321 Kwh/m2/an","Appartement 2 piece(s) - 66.02 m2 environ - 1 195 000  * BAC - GRENELLE Situe au troisieme etage d'une copropriete ancienne de grand standing, beau deux pieces ( 66m2 ) calme et lumineux comprenant: Entree, degagement avec placards, sejour ouvert sur cuisine americaine equipee haut de gamme, chambre, salle de bains, salle d'eau, WC separe. Acces direct a un toit - terrasse privatif d'une superficie de 62m2 . LAFORET PRESTIGE PARIS 6 - Regulated by RICS.",1 195 000
http://www.laforet.com/acheter/paris-07/appartement-3-pieces-V07050101646,Appartement T3 a vendre a Paris 07 - 850 000 ,"Cuisine : Equipee, Nombre de chambres : 2 chbre(s), Salle d'eau : 1, Chauffage : GAZ, Annee de construction : 1920, Cave : 1, Ascenseur : Oui, Acces handicape : Oui","Appartement 3 piece(s) - 91.3 m2 environ - 850 000  * Champ de Mars, avenue Emile Acollas, a deux pas de l'Ecole Militaire, dans un magnifique immeuble des annees vingt, nous vous proposons un bel appartement de 3/4 pieces comprenant une entree desservant un double sejour de 37m2 environ s'ouvrant sur l'avenue, une chambre sur cour, une grande cuisine dinatoire et une salle de bains. Possibilite de creer une deuxieme chambre. La hauteur sous plafond de plus de 3 metres, les moulures d'epoque et les parquets conferent a cet appartement beaucoup de charme. Cet appartement est propose avec une chambre de service disposant d'une vue magique sur le Champ de Mars, accessible par ascenseur. CO EXCLUSIVITE LAFORET PRESTIGE.",850 000
