description,url,localisation,prix,agence,titre,infos
"pont de sully - ile saint louisen exclusivite, oralia vous propose un bien d'exception:situe rue saint louis en l'ile, maison de ville, en r+2, comprenant: au rdc: vestibule, double sejour, cuisineau 1er : suite parentale avec dressing salle de bains avec wc et wc separes accessible depuis le palierau 2nd : deux chambres et une salle de bainsun sous sol complete cette offre rare sur le secteur.",http://www.explorimmo.com/annonce-6289928.html,paris 4eme,1881000,lepinay malet,vente maison 5 pieces 145 m2,"nombre de pieces : 5, surface : 145 m2, nombre de chambres : 3, energie : nc, ges : nc"
"peniche de 323 m2 en parfait etat, et ses 3 terrasses contemplant les quais de seine. peniche d'une superficie interieure de 323 m2 echelonnee sur trois niveaux, comprenant trois terrasses, l'une sur le pont haut et deux sur le pont intermediaire. l'ensemble de ces 3 terrasses totalisant une surface de 86 m2.l'acces a bord emprunte deux passages independants, chacun equipe de portes a panneaux retractables de type "" pont-levis "".",http://www.explorimmo.com/annonce-5652552.html,paris 5eme,1700000,patrice besse,vente maison 6 pieces 297 m2,"nombre de pieces : 6, surface : 297 m2, nombre de chambres : 4, exposition : non precise, energie : nc, ges : nc"
"tres belle maison architecte atypique quartier latintres bon etat possibilite garage a proximitebien soumis a la copropriete, lots dans la copropriete.consulter l'agence pour connaitre les informations relatives au syndicat de copropriete.statut agent commercialcontacter isabelle lavillette 06 86 38 14 73 mandat n109/ioprix 1 310 000  fa",http://www.explorimmo.com/annonce-6623424.html,"paris 5eme,",1310000,at home confidentiel,vente maison 4 pieces 105 m2,"nombre de pieces : 4, surface : 105 m2, nombre de chambres : 2, nombre de salles de bain : 1, cave : oui, salle d'eau : oui, salle de bain : oui, energie : nc, ges : nc"
"situe dans une rue calme et discret au cur de saint-germain-des-pres, cet appartement est une des residences privees les plus elegantes de paris. circuler sur deux etages et tous les quatre cotes d'un jardin de la cour, l'appartement est abondante dans les espaces publics et prives. commencant par une grande double salon, ou des cocktails de plus d'une centaine ont ete frequents au cours des pres de quatre decennies, les proprietaires actuels ont appartenant a la propriete, toutes les chambres donnent",http://www.explorimmo.com/annonce-3811406.html,"paris 6eme,",12500000,emporio estate group - haussmann prestige,vente maison 9 pieces 593 m2,"nombre de pieces : 9, surface : 593 m2, nombre de chambres : 3, nombre de salles de bain : 3, salle de bain : oui, energie : nc, ges : nc"
"paris xveme, proche mairie, maison de 320 m2 nichee dans un joli square arbore. belle maison datant des annees 30 entierement renovee en 2004, beneficie de 6 chambres dont une au rc ( chambre de service), 4 salles de bains.elle beneficie de 3 etages avec ascenseur vitre panoramique, balcons, terrasse plein sud, piscine interieure, sauna, buanderie, sous sol (65m2), cave,1 box ferme et un emplacement de parking dans le square.",http://www.explorimmo.com/annonce-6599914.html,"paris 6eme,",3330000,antonia rivoire immobilier,vente maison 9 pieces 320 m2,"nombre de pieces : 9, surface : 320 m2, nombre de chambres : 6, terrain : 4 m2, ascenseur : oui, balcon : oui, box : oui, garage : oui, parking : oui, terrasse : oui, energie : d (209), ges : e (49)"
"sevres babylone.charmante maison de ville en parfait etat de 115 m2 sur cour-jardin et au calme parfait. rez-de-chaussee : cuisine, chambre, salle de douche et lingerie.1er etage : grand salon avec 3 fenetres au sud.2e etage : chambre principale en atelier ouvrant sur une terrasse de 20m2, salle de bain et dressing.",http://www.explorimmo.com/annonce-4711192.html,"paris 6eme,",2150000,proprietes parisiennes sotheby's,"vente maison 3 pieces 114,1 m2","nombre de pieces : 3, surface : 114,1 m2, nombre de chambres : 2, nombre de salles de bain : 1, terrain : 114,1 m2, exposition : non precise, salle d'eau : oui, salle de bain : oui, terrasse : oui, energie : nc, ges : nc"
"maison xix au coeur du 7eme pres des invalides, une elegante maison du xix, entierement renovee par un architecte, deploie ses 350 m2 environ sur 3 niveaux, dont un pouvant constituer un appartement independant. les principales pieces qui constituent ce bien sont : - un grand sejour avec 6 metres de hauteur sous plafond et de grandes verrieres, - une cuisine dinatoire, - 5 chambres dont 2 ouvrant chacune sur une petite terrasse, - 3 salles de bains et 1 salle d'eau l'ensemble conjuguant",http://www.explorimmo.com/annonce-22906.html,paris 7eme,5000000,tillie et associes,vente maison 10 pieces 350 m2,"nombre de pieces : 10, surface : 350 m2, nombre de chambres : 9, statut : libre, energie : nc, ges : nc"
"tres bonne situation charmante petite maison 56 m2. possibilite profession liberale, piece de sejour, cuisine americaine, chambre, salle de bain, dressing. parfait etat, habitable immediatement. portable 06 80 42 59 79.",http://www.explorimmo.com/annonce-143426.html,paris 7eme,670000,nicolle bougue le febvre - nblf conseil immobilier,vente maison 2 pieces 56 m2,"nombre de pieces : 2, surface : 56 m2 (loi carrez), nombre de chambres : 1, nombre de salles de bain : 1, type de chauffage : habitat individuel, statut : libre, nombre de niveaux : rez-de-chaussee, exposition : sud-ouest, salle de bain : oui, energie : nc, ges : nc"
"invalides: un depaysement garanti grace a cette jolie maison de 123m2, ouverte sur un magnifique jardin fleuri de 180m2. elle se compose d'une entree, d'une reception avec de beaux volumes, d'une cuisine semi ouverte equipee, d'une chambre avec sa salle de bains et de wc independants. en mezzanine se trouvent un bureau et un dressing. a l'etage, la suite parentale avec sa salle d'eau et de nombreux rangements. situee dans un quartier tres commercant, a 2 pas de la rue cler et de la rue saint dominique,",http://www.explorimmo.com/annonce-6868616.html,"paris 7eme,",1990000,square's international,vente maison 4 pieces 123 m2,"nombre de pieces : 4, surface : 123 m2, nombre de chambres : 2, nombre de salles de bain : 1, terrain : 260 m2, exposition : sud-ouest, salle d'eau : oui, salle de bain : oui, energie : e (260), ges : e (40)"
"15eme proche 7eme. dupleix. exceptionnel et rare. maison 1900 en parfait etat d'une surface de 240 m2 avec un jardin de 80 m2 et un garage/atelier de 25 m2. en rez-de-chaussee sureleve: une entree, une double salle de reception, une grande salle a manger donnant sur jardin. en cour anglaise, une grande cuisine dinatoire, une chambre avec salle d'eau, une buanderie. au 1er etage, 2 belles chambres dont une avec grande salle de bains (douche/baignoire). au 2eme etage: 2 chambres avec une salle de bains.",http://www.explorimmo.com/annonce-4657824.html,"paris 7eme,",2995000,saint hilaire immobilier,vente maison 7 pieces 240 m2,"nombre de pieces : 7, surface : 240 m2, nombre de chambres : 6, energie : nc, ges : nc"
