description,url,localisation,prix,agence,titre,infos
"nous vous proposons d'acquerir une grande maison de ville, 7 pieces, 190 m2 avec jardin 600 m2 comprenant un local/bureau de 22 m2, ideale pour un professionnel primo-accedant avec enfants ou residence secondaire entre ocean et campagne, ainsi que pour les amateurs de plaisance et de sorties en mer.a 20 mn de royan, a mortagne sur gironde, a proximite du port et de l'estuaire, commerces a pied pour cette spacieuse maison avec potentiel offrant au rez-de-chaussee local de 22 m2 environ avec vitrine (possibilite chambre), entree, sejour avec cheminee, salon,wc, cuisine amenagee, cellier, a l'etage 4 chambres (dont une de 23 m2 ), dressing, wc, 2 salles de bains. large terrasse,garage avec chaufferie et avec cave a vins (35 m2 ), cour stationnement 2 voitures, abri et jardin avec acces a l'arriere sur une petite rue tres calme.vous souhaitez amortir votre achat ? solutions locatives possibles (location de local professionnel), statut d'accueillant familial envisageable, chambres d'hotes, les possibilites sont nombreuses et attractives dans un departement tres touristique ou le nombre de retraites et personnes agees est croissant.si cette maison vous seduit et que vous etes a la recherche d'un bien correspondant a notre descriptif, n'hesitez pas a nous contacter et nous vous preciserons comment economiser 15.000  de frais de notaire. a bientot...",http://www.paruvendu.fr/immobilier/vente/acheter-grande-maison-en-bord-de-mer-sans-frais-de-notaire/particulier/1201845963A1KIVHMN000,,190000,annonce de particulier - paris (75001),vente maison 8 pieces 190 m2 environ paris 1 (75001),"nombre de pieces : 8, surface : 190m, emission de gaz a effet de serre : 21 kgeq/m2.an, consommation energetique : 151 kwh/m2 an"
a 2h10 de paris en tgv maison bourgoise atypique 220m2 avec jardin intimistegare tgv est via luneville 54300la maison se trouve a badonviller 54540 a 5mn en velo du lac de pierre percee et de toutes ces activitescanoe rando vtt accro branches saut a l elastique pique niquepetit bourg avec commerces boulangeries boucheries traiteur superrette restaurants poste pharmacies station medicale garagesun melange d ancien et de modernela maison se composed un couloir traversant avec vue sur le petit jardin intimistedeco actuelle1 beau sejour de 25m2 parquet de chene vitrifiemoulures au plafond1 cuisine integree avec acces patio ou jardin d hiver couvert1 salon acces direct sur le jardin et la terrasse + 1 bureau ou chambre au 1er etg1 wc en rdc 1er etg parentale 1 grande chambre de 25m avec dressing et salle de bain privee1 wc etg enfants 3 chambres1 salle d eau1 grenier amenageable1 lingerie ou autre avec nombreux placards dressingle patio ou jardin d hiver est en duplex avec une passerelle2 caves vouteesfenetres et volets pvc electriques neufselectricite neuvecc gaz de ville,http://www.paruvendu.fr/immobilier/vente/maison-bourgeoise-atypique-a-2h10-de-paris-en-tgv/particulier/1205174210A1KIVHMN000,,149000,annonce de particulier - badonviller (54540),vente maison 8 pieces 220 m2 environ paris 3 (75003),"nombre de pieces : 8, surface : 220m, balcon / terrasse, jardin / terrain, emission de gaz a effet de serre : 25 kgeq/m2.an, consommation energetique : 160 kwh/m2 an"
"maison de 93 m2, composee au rdc d'un sejour + cuisine de 42 m2 + wc + cellier. a l'etage, 3 chambres avec placard et une salle de bains. maison rt 2012 a haute isolation thermique, equipee d'un systeme de detection incendie, de gestion des consommations d'energie et d'un chauffage intelligent. a 1 km du metro de villejuif l. aragon, dans un quartier au calme absolu, beau terrain a batir de 338 m2 avec facade de 8 m prix indicatif hors assurances, hors garanties, hors peintures, hors options, hors raccordements, hors branchements et hors frais de notaire. terrain selectionne et vu pour vous sous reserve de disponibilite et au prix indique par notre partenaire foncier. visuels non contractuels. (voir details en agence).",http://www.paruvendu.fr/immobilier/vente/maison/vitry-sur-seine-94400/1205893883A1KIVHMN000,,404400,maisons pierre - belle epine,vente maison 5 pieces 93 m2 environ a vitry sur seine (94400),"nombre de pieces : 5, surface : 93m, jardin / terrain, - nombre de chambre(s) : 3, - surface du terrain : 340"
"vous pouvez contacter directement le proprietaire au 06.26.82.66.60. maison, surface de 190 m2 a paris 05. la classe energie de ce bien est d. proche jardin du luxembourg. maison de ville 190 m2 environ, sur 3 niveaux. tres belles prestations. double sejour, cuisine, 4 chambres, 1 salon, 2 sa... (cliquez sur le lien ci-dessous).",http://www.paruvendu.fr/immobilier/prestige/maison/paris-75005/1203626039A1KIVHMN000,,2500000,contact : 100% entre particuliers,vente maison 7 pieces 190 m2 environ paris 5 (75005),"nombre de pieces : 7, surface : 190m, jardin / terrain, consommation energetique : 159 kwh/m2 an"
"maison non mitoyenne, vous offre : entree, sejour spacieux donnant sur terrasse, cuisine et coin dinatoire, chambre avec suite parentale, bureau, salle de bains, wc separes. etage : 4 chambres, salle de bains, wc separes. grenier. sous-sol : cuisine d'ete, salle de jeux, atelier, salle d'eau, wc. garage. a proximite des bords de marne. pour visiter votre contact: renee dehant 06 77 58 81 91 (mandataire independant) - annonce redigee et publiee par un agent mandataire - honoraire a la charge de l'acquereur : non procedure sur le syndicat des coproprietaires : non",http://www.paruvendu.fr/immobilier/prestige/maison/maison/1205892151A1KIVHMN000,,669000,immo cf,vente maison 6 pieces 190 m2 environ a champigny sur marne (94500),"nombre de pieces : 6, surface : 190m, parking / garage, balcon / terrasse, - nombre de chambre(s) : 4, - surface du terrain : 720, emission de gaz a effet de serre : 42 kgeq/m2.an, consommation energetique : 231 kwh/m2 an"
"i@d france - franck heurtematte (06 24 57 01 21) vous propose : quartier tres recherche du 9 eme arrondissement .ideal pour restauration rapide ou a emporter .tres bien entretenu .ouvert du lundi au vendredi midi .peut etre developpe le soir et en livraison.n'hesitez pas a me contacter le bien associe a cette annonce est non soumis au dpe. la presente annonce immobiliere a ete redigee sous la responsabilite editoriale de m. franck heurtematte (id 5657), agent commercial mandataire en immobilier immatricule au registre special des agents commerciaux (rsac) du tribunal de commerce de creteil sous le numero 352165492retrouvez tous nos biens sur notre site internet www.iadfrance.com honoraire a la charge de l'acquereur : non bien en copropriete : non procedure sur le syndicat des coproprietaires : non",http://www.paruvendu.fr/immobilier/vente/maison/vente-restauration-rapide-45-m-sup2/1204913056A1KIVHMN000,,197000,i@d france,vente maison 45 m2 environ paris 9 (75009),"nombre de pieces :, surface : 45m"
"swixim immobilier vous propose : rare, quartier charonne maison sur 3 niveaux. possibilite de local artisanal/profession liberale. grande piece a vivre avec cheminee, cuisine separee amenagee et equipee. trois grandes chambres, une salle de bain et une salle d'eau. tres grand sous-sol amenage. a voir. contactez laurent brunnert au 06 61 70 68 68 honoraire a la charge de l'acquereur : non bien en copropriete : oui montant moyen des charges annuelles : 2568 euros procedure sur le syndicat des coproprietaires : non",http://www.paruvendu.fr/immobilier/prestige/maison/maison-villa-6-piece-s-212-m2/1197935576A1KIVHMN000,,1415000,swixim,vente maison 6 pieces 212 m2 environ paris 11 (75011),"nombre de pieces : 6, surface : 212m, - nombre de chambre(s) : 3"
"10 mn de reims 1h de paris, ville desservie par le tgv: secteur warmeriville, zone tout commerce, ecole, college.maison contemporaine de 260 m2 volumes exceptionnels sur sous sol amenage et cloisonne de 200 m2 (garage 3 vehicules, atelier, 3 grandes pieces, lingerie, partie cave).le rdc est compose d'une vaste entree, piece dressing avec grands placards, cuisine equipee et cellier attenant, grand salon, salon tv, sejour, bureau (pouvant etre une chambre), salle de bain avec douche, wc separe.a l'etage mezzanine donnant sur sejour, 4 chambres spacieuses, dont une suite parentale equipee : sdb avec douche, wc , dressing. 3 autres grandes chambres, wc independant, salle de bain avec baignoire, lingerie.terrain de 950 m2, arbore et eclaire avec piscine. terrasse carrelee de plus de 70 m2 dont une partie couverte.porte de garage automatisee, maison equipee d'une alarme. chauffage au sol. vmc double flux. poele a bois. pas de vis a vis. vue sur un parc. terrain cloture.",http://www.paruvendu.fr/immobilier/vente/maison-proche-paris/particulier/1205573149A1KIVHMN000,,570000,annonce de particulier - paris (75010),vente maison 14 pieces 250 m2 environ paris 10 (75010),"nombre de pieces : 14, surface : 250m"
"94400 - vitry sur seine - maison de ville avec jardin parkings et dependance - centre ville - rer c / bus 180 -183 / m 7 - efficity l'agence immobiliere qui estime votre bien en ligne vous propose en exclusivite dans l'avenue p.v.c. proche de la gare cette magnifique maison meuliere refaite integralement claire, calme et bien entretenue. la maison d'une superficie de 120 m2 environ sur sous-sol total de 60 m2 se compose d'une entree, d'un sejour de 26 m2 avec sa cheminee donnant sur son jardin de 250 m2, d'une cuisine amenagee (possibilite d'ouvrir), de 3 chambres avec espace de rangement de 13 m2 chacune, d'un dressing de 9 m2, de 2 salles d'eau (possibilite d'une salle de bains), de 2 wc separes dont un avec lave mains. la maison dispose egalement d'emplacements de parkings dont 2 couvertes et d'une dependance de 20 m2. a proximite immediate des commerces, des ecoles et des transports.- efficity sa, au capital de 270 983 - carte professionnelle t 12024 delivree par la prefecturenom du negociateur : mahegaetan honoraire a la charge de l'acquereur : 0 statut du negociateur : agent commercial independant",http://www.paruvendu.fr/immobilier/vente/default/ville-00000/1204354802A1KIVHMN000,,450000,efficity,vente maison 5 pieces 120 m2 environ paris 13 (75013),"nombre de pieces : 5, surface : 120m, jardin / terrain, - nombre de chambre(s) : 4, - surface du terrain : 250, - balcon, - cave, emission de gaz a effet de serre : 64 kgeq/m2.an, consommation energetique : 274 kwh/m2 an"
"superbe affaire a saisir :a 5km de denia et 90km de valence et d'alicante. situee a 250 metres de la plage la maison offre un grand confort avec :- 1 grande piece principale disposant d un beau volume avec hauteur sous plafond,- 2 chambres,- 2 salle de bains avec wc + 1 wc separe,- 1 cuisine,- 1 terrasse privee de 70m2,- 1 parking avec vue sur la montagne,- 2 portes principales (1 simple + 1 double).superficie totale : 100m2ideal pour un couple. prix: 80 000  a debattre",http://www.paruvendu.fr/immobilier/vente/maison-a-vergel-espagne-250m-de-la-plage-100m2-2-chambres/particulier/1203833301A1KIVHMN000,,80000,annonce de particulier - paris (75015),vente maison 3 pieces 100 m2 environ paris 12 (75012),"nombre de pieces : 3, surface : 100m"
