requete,formattage,lat,lng
"rue+Saint-Martin,Paris","Rue Saint-Martin, Paris, France",48.86293149999999,2.3523542
"rue+du+Temple,Paris","Rue du Temple, Paris, France",48.8624024,2.3574341
"rue+de+Turenne,Paris","Rue de Turenne, Paris, France",48.85972640000001,2.3645312
"place+des+Vosges,Paris","Place des Vosges, Place des Vosges, 75004 Paris, France",48.85561140000001,2.3655266
"place+de+la+Republique,Paris","Place de la Republique, 75011 Paris, France",48.8675134,2.3638289
"boulevard+des+Filles+du+Calvaire,Paris","Boulevard des Filles du Calvaire, Paris, France",48.8619175,2.3670287
"quai+de+l'Archeveche,Paris","Quai de l'Archeveche, 75004 Paris, France",48.8522144,2.3519845
"pont+d'Arcole,Paris","Pont d'Arcole, 75004 Paris, France",48.8554288,2.3505354
"rue+d'Arcole,Paris","Rue d'Arcole, 75004 Paris, France",48.8543822,2.3497787
"rue+Aubriot,Paris","Rue Aubriot, 75004 Paris, France",48.858458,2.3569933
"rue+Jean+Du+Bellay,Paris","Rue Jean du Bellay, 75004 Paris, France",48.8528872,2.3533047
"rue+de+Birague,Paris","Rue de Birague, 75004 Paris, France",48.8544922,2.3650843
"impasse+du+Boeuf,Paris","Impasse du Buf, 75004 Paris, France",48.8591819,2.353339
"quai+des+Celestins,Paris","Quai des Celestins, 75004 Paris, France",48.8523802,2.3604176
"rue+Charlemagne,Paris","Rue Charlemagne, 75004 Paris, France",48.8541793,2.3605477
"rue+Nicolas+Flamel,Paris","Rue Nicolas Flamel, 75004 Paris, France",48.8587189,2.3494158
"rue+de+Fourcy,Paris","Rue de Fourcy, 75004 Paris, France",48.8549275,2.3592063
"rue+Simon+Le+Franc,Paris","Rue Simon le Franc, 75004 Paris, France",48.8601251,2.3536305
"place+Saint-Gervais,Paris","Place Saint-Gervais, 75004 Paris, France",48.8556817,2.3540786
"quai+de+Gesvres,Paris","Quai de Gesvres, Paris, France",48.85672539999999,2.3489306
"rue+des+Guillemites,Paris","Rue des Guillemites, 75004 Paris, France",48.8580925,2.3573335
"rue+de+Jouy,Paris","Rue de Jouy, 75004 Paris, France",48.8549612,2.3581451
